,0
14,"Un casque qui sert trop la tête, ce n'est pas agréable, mais un casque qui ne sert pas assez, c'est pareil. Celui là fait parti de la secondes catégorie. Un mouvement de tête et le casque tombe de ma tête. Le son est vraiment bof bof ... Pas de graves, son qui sature rapidement quand on l'augmente. Le pire pour mon exemplaire, c'est que le son est plus fort d'un côté. Erreur de conception, mauvais réglage, abimé avant même d'être utilisé ? Qu'importe, ça repart à l'envoyeur et je vais me porter sur un autre modèle d'une autre marque. Je ne recommande pas."
15,"Pour le budget, ce casque est parfait. Pairing avec W10, android sans soucis. Durée de vie des batteries très corrects, chargement en USB un peu lent via un port PC 0.3A , mais avec un chargeur externe 1A sa charge sans chauffer. Qualité son sous windows très bonne.attention il y a deux modes sons sous W10. Mains libre avec un son horrible. Et audio qui est très bon. -- Mise a jour de mon évaluation. 27/08 rupture du connecteur micro-usb. Les points de soudure ont lâchés. Le connecteur est simplement sorti complètement du casque. Impossible de recharger mon casque... Je redescent à deux étoiles car ce n'est pas normal qu'un produit comme celui la casse aussi rapidement !!!"
16,"Bon casque, il a vraiment l'air solide mais il reste lègé, les finitions sont impeccables, le son est bon, clair, mais il manque de basse à mon goût. Je l'utilise quotidiennement pour aller à la salle de sport. Et je doit dire qu'il tien très bien à la tête, il ne glisse pas du tout. La connection Bluetooth est pas mal, quelques petites coupures de temps à autres sinon c'est niquel. Point de vue de la batterie c'est niquel, il tiens plusieurs séances de 2h sans problèmes et la charge est plutôt rapide. En revanche en utilisation avec le câble jack c'est très correcte mais le câble s'enleve facilement du casque. Qualités : - très bon prix - la qualité/ les finissions - la connection - le son clair - le design - le confort ( même après 3h) - l'autonomie et la charge rapide Défauts : - le manque de basse - le câble jack qui d'enlève trop facilement Je recommande vraiment."
17,"Je recommande ce casque si vous n'êtes pas voyageur car lorsque vous prenez les transports en commun, la voiture, l'avion ou le train; le casque à du mal à retranscrire les basses à cause des bruits parasites engendré par ces transports ci dessus. Sa batterie tient environs 12 heures pour ma part (à un volume modéré), il est parfait pour écoutez de la musique type electro, jazz, classique mais les amoureux de la trap ou hip-hop, passer votre chemin (à part si vous possédez un équalizer !); pour regardez des séries ou des films il est parfais ! Je le recommande !"
18,"Le son est plutôt correct, il est confortable mes à utilisation prolongée il fait un peu mal au oreilles l’aspect général est plutôt bonne je le trouve jolie et bien fini pour le prix. Tout fonctionne bien il lui arrive de fair dés micro coupure quelques fois."
19,"Le casque est beau, néanmoins il a perdu sa fonction bluetooth à l'un des côté au bout de quelques semaines à peine, il ne fonctionne correctement qu'avec le câble filiaire. De plus, il fait très mal aux oreilles en à peine 30 min à 1h d'écoute. L'autonomie est faible, il ne tient qu'à peine 6h et quelques."
20,"J'ai acheté ce casque la semaine dernière et j'en suis très content. Le son est de très bonne qualité. Les écouteurs sont assez large pour couper les bruits extérieurs mais le casque est assez léger. Le Bluetooth fonctionne bien, la notice est assez explicative et le parametrage est facile. La anse est reglagble et ne comprime pas la tete, elle est très agréable. C'est un tres bon rapport qualité prix, à voir avec le temps! Je recommande!"
21,"Le casque est de bonne qualité par rapport au matériaux, mais le son est tellement aigu (et il n'y a pas de control pour le bass) que on ne peut pas utiliser ce casque pour écouter de a musique. Je l'ai renvoyer le meme jour que il est arrivé."
22,"Super Preis-/Leistungsverhältnis Sehr guter ausgewogener Klang. Gute Höhen, satter Bass und nicht zu aufdringliche Mids. Der Kopfhörer bietet neben der Bluetooth auch eine Kabeldirektanbindung (3,5mm Klinke) und ist sehr stabil gebaut (Metallbügel und -Scharniere!) und somit auch für Kids geeignet! Der Einsatz als Headset zum Telefonieren ist in Ordnung (klingt auf der Gegenseite etwas hallig/blechern ist aber ok). Einziger Wermutstropfen ist die gewöhnungsbedürftige Bedienung von Lautstärke, Play und Pause und der etwas nervige Einschaltton im Bluetooth Betrieb. Aber daran gewöhnt man sich / das ist bei diesem Preis akzeptabel. Die Verpackung sieht -wie der Kofphörer auch- sehr edel aus und erinnert etwas an Elektronikwaren aus Cupertino ;-) Von mir gibt‘s eine KLARE KAUFEMPFEHLUNG!!"
23,"Ich hatte bereits ein ähnliches Modell von Nubwo (Aufdruck an beiden KH) gekauft, welches allerdings eine andere Ohrmuschel mit einem Netzartigem Ohrpolster hat. Diese hat sich allerdings meine Freundin öfters ausgeliehen – daher wurde ein 2. KH gekauft, dieses mal mit anderer Ohrmuschel. Klanglich sind diese gleich, allerdings lässt sich die offene Ohrmuschel bei diesen leichter reinigen, was bei dem anderen Modell schwierig ist. Das Schwarz orangene Metall Design gefällt mir, aber hauptsächlich kam es darauf an, das die belasteten Teile nicht wie bei vielen anderen KH aus Plastik sind (Sollbrauchstelle) Dieser KH kann mit Bluetooth 4, aber auch mit Kabel betrieben weden, was ihn Zuhause, im Büro oder unterwegs vielseitig einsetzbar macht. Im Vergleich zu In Ear KH bekommt man noch viel mit und verpasst auch keine Durchsage in der Bahn. Zum Vergleich, ich nutze zuhause und im Büro verschiedene Hifi Kopfhörer von 30-300€ (Die Den Begriff Hifi wirklich verdienen) Der Klang ist für einen Bluetooth KH ohne APTX gut und kommt allerdings and die kabel gebundenen Samson SR850 Kabel Kopfhörer nicht heran heran, welche im gleichen Preissegment liegen. Allerdings kostet der USB DAC an dem die Samson hängen schon mehr als 3x so viel wie die Nubwo Kopfhörer und man ist an den Schreibtisch „gekettet“. Die KH sind eher neutral abgestimmt, weder Bass noch Höhen lastig. Wer also UMZ-UMZ Hip-Hops oder Rap „Musik“ hören möchte, ist hier vielleicht nicht ganz richtig. Rock und Klassik klingen für den günstigen Preis ziemlich gut. Die Reichweite beträgt zuhause vom PC ca. 8-10m durch 2-3 Wände, vom Handy aus ca. 6m und die Akkulaufzeit reicht 1-2 Tage. Für unterwegs oder die Hausarbeit sind die KH genau richtig."
24,Der Klang ist sehr blechernd. Dazu kommt dass Bässe garnicht vorhanden sind und die Höhen zu sehr übersteuern. AUSSERDEM SIND DIES KEINE OVER EAR SONDERN ON EAR KOPFHÖHRER
25,"Nachdem meine 10 Euro OnEar Kabelkopfhörer den Geist aufgegeben haben musste ich mich nach neuen umsehen, da ich gerade erst True Wireless Kopfhörer gekauft hatte und begeistert war entschied ich mich, auch dem hier eine Chance zu geben. Diese Entscheidung bereue ich mittlerweile leider Zunächst zum Positiven: - Optisch ist es recht ansprechend - der ""Bogen"" ist gut gepolstert - nicht zu schwer - gute Akkulaufzeit Doch leider sind die negativen Punkte für mich die ausschlaggebendsten: - sehr unangenehm schon nach einer Stunde Tragen - die Platzierung der Knöpfe ist für mich eher unpraktisch - der Klang ist schlecht - schon nach 1-2m Entfernung zum Handy bricht die Verbindung teilweise ab - die Ohrmuscheln haben viel zu viel Spielraum Da ich es sowieso eher als Übergang nutze ist es noch halbwegs akzeptabel, aber ich werde nicht länger den Bass bei Liedern missen müssen können, denn der flache Sound verdirbt einem den Spaß. Zumindest sind die Höhen bei hoher Lautstärke nicht ZU dominant und die Zischlaute nicht so schmerzhaft wie bei anderen Billigkopfhörern. Ich hoffe ich konnte der einen oder anderen Person helfen. :)"
26,"Ich kann das Headset empfehlen. Ich kann nur wie viele andere schon bestätigt, dass der Bass etwas geringer ausfällt als bei anderen Hersteller wie z.B. der Skullcandy Grind den ich zuvor hatte. Dennoch finde ich wiederum die Höhe etwas besser und klarer. Bluetooth funktioniert ohne Probleme wobei die Ansage etwas laut für meinen Geschmack sind. Die Verstellung der Lautstärke ist teilweise etwas verzögert da dazu die Tasten sehr lange gedrückt werden müssen. Bei schnellem laut und leise drücken der Tasten werden nur die Titel gewechselt. Der Tragekomfort ist dafür besser als bei meinem zuvor genannten Kopfhörer. Da sich beim Klang bezüglich die Geister scheiden bleibt es jedem selbst überlassen ob er viel oder wenig dafür ausgeben möchte. Ich würde Ihn wieder kaufen."
27,"Tenia mis dudas ya que todos los auriculares que van por bluetooth como usan su propio amplificador no suelen tener mucho volumen, en estos el volumen es muy alto lo cual me encanta, son cómodos y poco pesados, he conseguido conectarlos al Pc y funcionan por el Bluetooth sin problemas incluso con alguna pared por el medio, tienen buen alcance, permite pasar de canción desde los cascos, se pueden conectar por cable. se enlazan rápido y sin problemas, el diseño me parece bonito y el tamaño ideal para ir por la calle sin que sean ni muy grandes ni muy pequeños, tienen una buena autonomía, y la caja en la que viene es muy practica para guardarlos y conservarlos en perfecto estado. el micrófono incorporado que llevan también funciona en el PC al conectarlo por Bluetooth y los uso para videojuegos y chat de voz. encantado con la compra."
28,"Ich habe die BT Kopfhörer für meine Kids gekauft, jetzt muss ich mir nicht ständig die Kinderlieder in Auto geben. Aber zum Kopfhörer: Die Ohrposter sind nichts für große Ohren, aber das und das geringe Gewicht macht ihn umso passender für Kinderköpfe. Vom Sound her war ich für diese Preisklasse echt überrascht. Höhen und Mitten klingen super, für meinen Geschmack könnte aber etwas mehr Bass nicht schaden. Die Bluetoothverbindung klappt einwandfrei, egal ob iPhone, Android oder Auto. Neben dem Power on/off gibt es 2 Taster zur Lautstärkereglung, sowie Track vor/zurück. Meine Kids sind sehr zufrieden und können ihn bedenkenlos weiterempfehlen."
29,"Der Kopfhörer kam in eine schicken, schwarzen Box. Das Design aus schwarz und orange macht wirklich etwas her und sieht klasse aus. Ich habe die Kopfhörer mit meinem Echo verbunden und habe im ganzen Haus Empfang. Keine Aussetzer oder Rauschen. Das Pairing funktionierte auf Anhieb und das Laden der Akkus dauerte ca eine halbe Stunde. Angenehm fällt auch der Sitz aus. Die Teile lassen sich leicht verstellen und sind auch für größere Köpfe prima geeignet. Der Klang ist ausgezeichnet für diese Preisklasse. Manche Kopfhörer sind da sehr Basslastig, was ich persönlich nicht so mag. Die Bedienelement sind gut zu erreichen und intuitiv zu bedienen. Mit dem beigelegtem Klinkenkabel kann auch Musik ohne Bluetooth direkt vom Handy etc gehört werden. Ein sehr großer Pluspunkt, wenn einem mal der Akku ausgeht. Mein Fazit: Toller Klang, solide Verarbeitung und durchdachtes Desing. Alles richtig gemacht. Von mir eine unbedingte Kaufempfehlung."
30,"Wir hatten das Glück ihn im Blitzangebot für 22,-- € zu erwischen. Mein Mann bekam den Kopfhörer zu Weihnachten und weil ich keine Ahnung von technischen Dingen habe, viel die Kaufentscheidung aufgrund der Rezensionen. Mein Mann ist mit dem Kopfhörer rundum glücklich. Der Klang ist super, die Kopfhörer sind extrem bequem und drücken auch nach zwei Stunden nicht. Außerdem schirmen sie sehr gut ab, das kann ich bestätigen, denn wenn mein Mann sie trägt, ist er so gut wie taub. Ich wiederum muss mir die schreckliche Musik nicht anhören und sie bleibt schön dort, wo sie hin soll :) Der Akku hält sehr lange, mein Mann hat seit Weihnachten immer wieder länger Musik gehört und musste ihn jetzt erstmalig laden. Er betreibt den Kopfhörer in Kombination mit einem Bluetooth-Adapter, was völlig problemlos funktioniert. Er tigert damit auch im Erdgeschoss des Hauses herum, die Reichweite muss also gut sein. Über das Design kann man streiten, da gibt es sicher Kopfhörer die stylischer aussehen, aber bei diesem Preis-/Leistungsverhältnis ist das ein Manko, über welches man gerne hinweg sieht. Mein Mann ist happy mit dem Kopfhörer."
31,"Ich bin leidenschaftlicher Fitness Sportler und war lange auf der Suche nach bluetooth Kopfhörern. Als ich die Kopfhörer gesehen habe war ich sehr glücklich, endlich, dass richtige Produkt gefunden zu haben. Große Kopfhörer die optimal sitzen und leicht zu verbinden sind. Sie kamen in einer hochwertigen Verpackung und machen den Eindruck als wären Sie sehr stabil verarbeitet Ich muss sagen ich bin sehr zufrieden mit den Dingern. Sie haben einen guten Sound, habe neinen guten Akku und sehen stylisch aus. Man kann Sie mit jedem Gerät koppeln (Sehr laaaange gedrückt halten) und wiegen auch nicht zu viel. Das einzige Manko ist der Bass. Leider ist dieser nicht so ausgeprägt. Man muss aber dazu sagen, dass für den Preis natürlich keine unglaublich gute Leistung erwartet werden kann. Nichts-desto-Trotz absolut eine Kaufempfehlung für das Gerät."
32,"Ich stelle nicht die höchsten Anspruche an einen Kopfhörer, ansonsten hätte ich in dieser Preisklasse wohl nicht zugeschlagen. Nichtsdestotrotz bin ich von der Verarbeitungsqualität und dem Sound der Kopfhörer positiv überrascht. Die Kopfhörer sind angenehm leicht und ich empfinde den Sound als ausreichend kräftig, detailreich und differenziert. Allerdings nutze ich den Kopfhörer nicht an einer Musikanlage, sondern in Verbindung mit Smartphone oder PC. Als vollkommen ungeeignet empfinde ich aber die Anleitung. Ich habe zunächst erfolglos versucht, den Kopfhörer zu pairen. Erst ein Blick auf die Bestellseite bei Amazon half mir weiter. Dann aber konnte ich den Kopfhörer problemlos mit meinem Smartphone (Android), meinem PC und meinem Yoga-Book (beide Windows 10) verbinden."
33,"Leider war bereits nach 1x Laden der Akku defekt und ließ sich nicht mehr laden. Tragekomfort war das Einzige was besser war. Ton war schlecht, Rauschen mit dabei. Bass wie in der Beschreibung angegeben nicht wirklich vorhanden, insgesamt sehr leise, musste dadurch die Lautstärke hochschrauben. Dies galt nicht für manche Benachrichtigungstöne, somit platzte einem dann manchmal das Ohr. Hintergrundgeräusche sehr deutlich wahrnehmbar. Für zu Hause hätte ich dies alles noch akzeptiert, aber mit defektem Akku fällt die eigentlich gewünschte Hauptfunktion Kabellos weg. Rücksendung läuft."
34,"Klang ist unterdurchschnittlich. Verarbeitung: durchschnittliches China Produkt. Produktbeschreibung unzutreffend, die Klangmuscheln sind zu klein für einen Over Ear Kopfhöhrer. Ansonsten Funktioniert das Ding, kann es koppeln und habe gute Verbindung in der ganzen Wohnung. Würde den Kauf nicht empfehlen, Preis Leistung wird in meinen Augen nicht erfüllt"
35,"Ich habe den Kopfhörer als Geschenk für meinen Vater gekauft, der einen einfachen Kopfhörer mit AUX-Anschluss wollte, wofür dieser Kopfhörer perfekt geeignet und dank Bluetooth auch für neue Smartphones geeignet ist. Der Kopfhörer ist sehr wertig verarbeitet, gerade wenn man den Preis bedenkt. Den Klang finde ich relativ blechern aber für den Preis ebenfalls vollkommen in Ordnung. Wenn man für wenig Geld einen guten Kopfhörer möchte, dann ist dieser sicherlich eine gute Wahl."
36,"Das positive zuerst: Die Verarbeitung und das Erscheinungsbild der Kopfhörer und der Verpackung sind wirklich hochwertig und sehen sehr gut aus. Leider nun das negative: Die Kopfhörer klingen sehr blechern und der Bass ist kaum wahrzunehmen. Der Lautsprecher der linken Seite war wesentlich leiser als der Lautsprecher der rechten Seite. Ich habe die Kopfhörer daher leider wieder zurückgeschickt, Optik ist leider nicht alles."
37,Ecouteurs sans-fils que j'achète pour le sport. Je les utilise depuis quelques jours maintenant. Ils ne sont pas trop gros dans l'oreille et tiennent bien. Le son est de bonne qualité. Les écouteurs sont magnétiques et peuvent donc s'accrocher entre eux c'est un plus. les écouteurs s'appairent automatiquement avec le téléphone lorsqu'on les allume. Je suis satisfait de ce produit. Pas de problèmes de connexion avec mon Samsung Galaxy note 9.
38,"Bonjour la communauté Après avoir été déçu sur une première paire d'une autre marque, je me suis rabattu sur celle-ci. La batterie tient bien, les oreillettes sont très confortables. Pouvoir les aimanter est plutôt agréable. Le tout se range dans un boîtier bien fini. Très bonne qualité sonore. Embouts de tailles différentes vendus avec. Je recommande ce produit"
39,"Excellent produit C est du plug and play Une fois le bluetooth activé sur mon smartphone et le casque allumé, détection et appairage sans aucune autre intervention Les écouteurs tiennent bien, pour info, le côté avec le module boutons play/+/- se positionne sur l'oreille droite, mais en inversant les coques préformées , on peut le positionner sur le côté gauche Bonnes finitions Qualité audio excellente"
40,Après 5 achats différents de ce type de produit celui-ci et vraiment génial. Long batterie. Long porter ! Super son. Coupe bien le son extérieur. Tenue parfaite à l'oreille sans faire mal même avec 0lusieur heurs d'utilisation. Adaptée au sport. Et maintenant je les utilise pour tout. Super. Bon rapport qualité prix. Je recommande sans essiter.
41,"Acheté pour remplacer des écouteurs à fil trop encombrants, je suis heureusement surprise par la qualité de ceux-ci. S'adapte bien à l'oreille et son nickel. Je recommande."
42,"Rapport qualité/prix/comfort incomparable. Grand nombre d'adaptateurs et très bonne tenue. Très léger, configuration ou appairage en moins de 10 secondes. Déjà possesseur des Truengine de la même marque, je en peux que recommander cette autre modèle avec 8h continu d'autonomie."
43,"Rien à redire. Super comfortable, tient bien aux oreilles. Il y a plusieurs tailles. Le son est impeccable et avec la technologie Bluetooth 5.0 aucun problème de connexion et 100% stable aucune coupure. Je recommande surtout pour le rapport qualité prix."
44,"Produit très bien emballé, livré en avance. Appairage sans difficulté avec iphone et montre connectée STRATOS. Bon son. Encombrement minimum avec un petit étui pour les ranger avec le chargeur. La taille des écouteurs fournis me convient ( si ça n'avait pas été le cas, d'autres tailles sont fournies). Ravie de mon achat."
45,"Lo primero decir que vengo de unos AirPods (que se me han perdido) y buscando algo que no fuera caro me topé con estos auriculares, pero asumiendo que serían “mediocres” debido a su bajo precio. Pues bien, al ponerlos ya noté que eran extremadamente cómodos, valen para entrenar, no se mueven ni a tiros. La cancelación de ruido es de primer nivel, perfectos en ese sentido también. La calidad de sonido es buena y la transmisión de audio sin cortes. La batería dura bastante, yo los cargo cada 4 días, no tardan mucho en cargar. Otra cosa que me sorprendió es que proporciona el nivel de batería y lo muestra en el móvil (pongo foto) algo “avanzado” para un dispositivo que me ha costado 20€ escasos. Decir que es el modelo “negro oscuro”, que realmente es el Q33 o SK - Value (pongo foto) estos sí son 5.0, incluso han actualizado el logo de la marca, los otros colores son 4.1. En resumen, no sé lo que durarán, espero que mucho... pero dudo que alguien de algo mejor a este precio. Es más, me atrevo a decir que está por encima de auriculares que valen 5 veces más (o más). No puedo estar más contento."
46,"I've given them 5 stars for sound quality FOR THIS PRICE RANGE. I'm a bit of an audiophile and, with headphones, you get what you pay for. Also, buds are never going to seriously compete with full over-ear muff headphones - physics dictates they cannot produce the same bass. Having said all that, I continue to be impressed with the sound quality of these buds - they really do sound great. They fit well once you have selected the right size rubber things, and the little clip that attaches to your clothing really does the trick. The little storage case they come with is great. Battery life isn't AMAZING but nor is it bad - I find it perfectly sufficient. Solid purchase, especially when you consider how difficult it is to find ear buds that sound pleasing."
