,review_rating,review_posted_date,review_text,review_author
19,5.0 ,12 Apr 2013,"I do appreciate the sleek design; However, being that most of my time is spent barefoot and in the kitchen this product does not apply to my needs.",Ayanna A. Fletcher
20,3.0 ,28 Nov 2014,I purchased this product for my wife and she actually used this product to sign the divorce papers,Larry
21,5.0 ,02 Sep 2012,"My wife and I have been married for ten years, and I admit, I had no idea how to mark this milestone.  What can you get your soul mate that shows her how much you love her and how much better your life is because she is in it?  These pens!  I used to watch the consternation that would consume my wife as she'd try to write invitations to her Sex and the City marathons or as she'd struggle to sign the bar bill (my liberated little lady likes to go Dutch)on her $9 cosmos; I could almost hear her thoughts, should I dot my I's with a smiley face? or a heart? and I'd think, ""if only there were a pen made for the complex, dainty, modern woman in my life to help her through these difficult times,"" and now there is.",Brian Dougherty
22,5.0 ,05 Aug 2016,"I sent this to my fiancé, who shortly thereafter came out as trans and began her transition. Thanks for helping that along, BIC. :)",Endarei Steiner
23,5.0 ,11 Mar 2013,"Listen up, Gal Pals: If you're anything like me--and I bet you are because we are all identical! ;) ;) - you hate the confusion and fear of trying to write with smelly, empowered man-pens. ""How do I hold it?"" you wonder. ""What do I write on?"", ""What is math?"" I hear you, girlfriend. Let's face it, using your husband's pen feels like wearing trousers when not on a bicycle or horseback--it's just wrong! For so long women everywhere have wondered, ""Will there ever be a writing utensil for me?""",twalkerw
24,5.0 ,18 May 2018,"Love all the funny reviews. In all seriousness, I actually purchased these and really like them. They are smooth unlike a lot of pens.  I wish they were still for sale.",Flo
25,1.0 ,29 Aug 2012,"After all these years the answer to the glass ceiling is FINALLY resolved.  *Squeal with glee!*  What was holding women back was not having this delicate pastel pen that was designed for HER.  Who knew?  The genius boys over at Bic did, of course!  Why, I'm so giddy with excitement my husband may even get lucky tonight.  ;)",Robin
26,5.0 ,13 Apr 2013,I'm a red-blooded heterosexual male and I'd never really thought about using women's pens before. But these make me feel pretty.,John S. Ryan
27,1.0 ,12 Apr 2013,"Sadly, my tiny womanly hands were unable to open the package.  Thanks a lot Bic. :( I'm hoping one of my 257 cats will chew open the package for me.",Amazon Customer
28,1.0 ,12 Apr 2013,"I can't figure out how to use it.  Maybe they need to make pens specifically for lesbians.  But I will admit they're sexy as hell, all pressed up against each other in the bag like that...",DayTrader
29,5.0 ,22 Aug 2013,What can I say that hasn't already been written? These will be a gift for one of my slender-fingered friends. I'm sure they'll enable her to write the Great American Novel.,MrsC
30,5.0 ,29 Oct 2014,"All of the ladies in my office are so thankful that Bic came out with pens for her!  Before, we were hardly able to get any work done, because those bulky, dark and dreary pens were depressing us.  You know how women get!  The melancholy and mood swings have dramatically decreased and we are finally able to take notes for the men who run this place.  Thank you Bic!",Cyndy Eldredge
31,1.0 ,27 Aug 2012,First of all I'm a male. I picked a pink one up by mistake to write a quick note... Next thing I know I'm sitting down to take a pee. Be careful.,P. Davies
32,5.0 ,26 Nov 2012,"Woman hands need a lot of help with everything, so I was positively elated when these arrived via magic.  Now, the doodles at my teatime luncheons are filled with so many more swirls then I ever thought possible. First, feminine doodles. Next - who knows? I might even gain the responsibility to sign a check!",PlumplingDumpling
33,4.0 ,28 Nov 2013,"These are so great. Not only can I write recipes and outfit ideas with absolute ease, they even let me know when I'm getting too ambitious. Like I started to write a letter to my representatives in congress about my unequal wage at work, but my pen quickly reminded me- I'm a woman! Silly me! My opinion won't matter to a congressMAN. Thanks bic, no other pen could silence my silly opinions the way yours does. Not to mention, gender inequality stings so much less in pastel pink.",Hannah B
34,5.0 ,07 May 2013,"I love these pens, they come in very subtle but girly colors and ever since I started using them, they are the only pens I like to use, and I reorder every time I am out. I don't see them in the stores that often, but I can always find them here on Amazon ;-)",Cityy's Best
35,3.0 ,03 Oct 2014,With three gals in my house you can imagine how many of these I go through.  But now imagine my surprise when I saw that they were 10 dollars!  I purchased these last year for just over 7.  Figures.  Get the gals hooked on their fancy products and big daddy has to dig deeper into the wallet.,Gabriel Iverson
36,1.0 ,09 Dec 2014,"What do I even do with these ""pens?"" They're useless for spreading mayonnaise on my husband's sandwiches, they're not absorbent enough for my flow, and they're no good for painting my nails. I suppose I could just use them to decorate the kitchen, so I have something pretty and girly to look at while I cook all day.",thorlokitty
37,1.0 ,12 Apr 2013,"i used one of these pens by mistake, thinking i was reaching for my ""BIC Xtreme Pagemaster 9000"". i was only going to write a quick note to the wife and leave it on the fridge but what followed was the most sensitive, heartfelt letter to my dead gerbil (whom i hadn't thought of in thirty years) that i could have imagined. unending torrents of emotion poured out of me, and when it stopped i was in a ball on the kitchen floor, crying my eyes out. there's no way a man should be allowed around these pens. we're just not wired to withstand all those...feelings.",banana fan
38,1.0 ,31 Aug 2012,"As a guy I like this pen for 28 letters, but then it puts in a period and I can't touch it for a week.",J. Kafchinski
39,3.0 ,29 Nov 2013,"I gave these to my wife as a gift and she said they wouldn't work at first.  I said, ""Silly, you're in your office.  Go to the kitchen.""  She did and they started to draw out a bit of ink, but the lines were still sketchy.  I said, ""Well, you still have your shoes on.  Take them off.""  She did, and once she was barefoot AND in the kitchen, these ballpoint beauties worked for her like a charm.  These pens obviously know their place.",Thomas J. Housworth
40,4.0 ,09 May 2013,"I was drawn in by the light crystal pastel colors, they're almost mesmerizing online but even more so in person.  What I appreciate most is the ultra lightweight feel of this pen in my hand, especially during that time of the month when you almost can't be bothered to get out of bed in the morning.  You know what I'm talking about, those days where you look and feel as though you've given up on life....sweatpants, chocolate, Ibuprofren and a sloppy pony tail. Who wants to be burdened with carrying around a bulky, high-quality pen made by a widely recognized and admired, reputable company? It's not like you're trying to impress anyone at this point. Why not free up some space in your purse since you'll be carrying around unmentionables to deal with private lady business?",Fleur de Lisa
41,5.0 ,04 May 2013,Husband loves them. His hands are stiff and the pens are thin and easy for him to write with versas the larger pens,Debdoodlebug
42,1.0 ,28 Aug 2012,I found one of these in my husband's shirt pockets and another one in his car!  We are divorcing now.  Thanks Bic for ruining my marriage.,mikiry
43,5.0 ,11 Nov 2012,"I must admit that when I pulled these out of the package, I tested them out by writing a shopping list for a bake sale that I was working on. That's irrelevant though, as I would have done that anyway, BIC Cristal for Her or no BIC Cristal for Her, since that is something I do. The idea of pens made specifically for women is not necessarily a foreign idea to me, but many pens that are made specifically for women seem to be sold as alternatives, not as a replacement if you see what I mean. The way these are sold makes me feel that I must, for now on, only purchase pens made for women as I am not good enough to use regular pens. The other pens that I have, that were marketed to women, made me feel that I was born with a privilege of owning these special pens while also knowing that I could use any other pen I wished. It was an empowering feeling of knowing that I had additional choices. That aside, as a product, I really like these pens. They are slimmer than the regular BIC Cristal and come in prettier colors. There are faceted indentations on the end of these pens that catch the light, and the printing on the body of these pens is in silver foil. As someone with smaller hands, I find these more comfortable for me to use than the regular BIC Cristal. That said, my one gripe is that these pens only come with black or blue ink. I don't usually use regular black and blue ink, I often use pink, purple, turquoise, and green for my general writing. Personally, I think it would be a good idea to offer these in more colors in addition to the regular black and blue. As far as writing goes, these write the same way as any other BIC ballpoint I have written with. I think they are a bit smoother to write with than the BIC ballpoints of my childhood, don't blob as much, and don't require as much pressure. The ink still has the characteristic smell that I remember from BIC ballpoints from my childhood. That said, I think I'm sticking with my fountain pens, many of which are far girlier than these pens and can write with any color I so choose, like pink, purple, turquoise, sea foam green, spring green, mulberry and other fanciful colors that I currently enjoy.",Cupcakebunny
44,1.0 ,16 Sep 2013,"Normally I only use pens designed and created for real men, in colours appropriate to such instruments of masculinity - black like my chest hair or blue like the steely glint of my eyes, or the metallic paintwork of my convertible Mustang sports car. Imagine then the situation I found myself in when, upon taking delivery of another shipment of motorbike parts and footballs, I reached for and grasped not my normal BIC pen, but a `BIC for Her Amber Medium Ballpoint Pen' (evidently ordered by my well-meaning, but ill-informed girlfriend whilst my back was turned). I knew something was wrong when I had to physically restrain my hands, gnarled and worn from a lifetime of rock-climbing and shark wrestling, from crushing the fragile implement like a Faberge egg. Things only went downhill from there.",Chunky Le Funga
45,4.0 ,28 Aug 2012,"I am considering buying this product for my wife, but I am holding out in hopes that they create this product ""with wings"" for this ""heavy-writing"" days.",Steven Dam
46,5.0 ,28 Nov 2013,"I recently purchased these for my wife as a novelty item, knowing full well that most women do not know how to read and therefore have very little use for a pen specifically for ladies.  Much to my surprise, she picked it up very quickly and within a few short hours was able to draw simple shapes and was starting to make letters.  While this was somewhat amusing, I had to take them away before she learned to spell, add, and sign her name, as this is not behavior that is acceptable for a woman.  Buyers beware!  While this product makes a great gag gift, it must by used under proper supervision.  The last thing you want is for a simple joke to turn into a tragedy. This product ranks right up there  with The Man's Cookbook.  What is this world coming to?",PapaJohn
47,4.0 ,28 Nov 2013,"As funny as they are, I just want to set all jokes about gender  stereotyping aside and review the actual product.",Strawberry_Thief
48,5.0 ,12 Apr 2013,"I am a man, and I picked up this pen by accident the other day and started to write.",b
49,3.0 ,12 Apr 2013,"Before I buy this product, I have a few questions I hope that some of you can answer for me. First and foremost, can I buy it online? If so, does it come in a discreet packaging that my mail carrier will not recognize as a ""feminine aid""? I attempted to purchase it from my local grocer but he refused, saying that an aged spinster such as myself has no place putting on such fine airs, and threatened to put me in my place should I ever ask for such inappropriate goods again.",Shanon Darling
50,4.0 ,13 Apr 2013,"I usually avoid any kind of writing, but when I'm out spending my husband's money, I've found a few places that still make you sign a paper slip for credit card purchases.  Thanks to BIC Cristal for Her, I now have cute pens that coordinate with my outfit!  The only downside is, that while the slender pen does fit my woman's hand, it is so skinny that I worry about looking fat in comparison.",Wren
51,5.0 ,09 Nov 2014,"What a bargain! On Amazon, BIC charges $6.79 for a 24 pack of regular BIC Crystal Bold pens, but only $10.14 for this 16 pack of BIC Cristal For Her pens. How great is BIC for giving us poor women a break? With a deal like that, we won't even have to ask our husbands to raise our allowances.",Dottie C.
52,5.0 ,12 Apr 2013,"Now that there is a pen for us, does it mean it's legal for ladies to write? Is that really a good idea? Are you ""Bic"" people some kind of crazy man-hating feminists or something? What's next, women owning property? Or maybe even having their own idea about how to spell the word ""crystal""...",Eve
53,5.0 ,28 Nov 2013,"A couple months ago, our family was on the brink of falling apart. But then my dad bought my mom ""BIC Cristal For Her"" pens for her birthday. Ever since my mom started using BIC Cristal For Her pens to write her grocery lists, our whole family has been saved! She now always has a nice cold Budweiser waiting for my dad when he comes home exhausted from his hard day of providing for us. No longer does she forget to buy my sister the ingredients she needs for her bake sales so she can raise money for her dowry. And she always remembers to buy me my Hot Pockets after I come home starving from football practice. Score!",Erez Rosenberg
54,1.0 ,22 Apr 2013,"I bought these pens for my wife based on the glowing reviews, but now she doesn't need me anymore.  These pens have fulfilled her every need (yes, that one too...)  Men, don't buy these pens if you want to keep your woman.",Adam Missner
55,2.0 ,28 Nov 2013,"I'm damn glad I found these pens as I have had so many woes with the standard pens, the last time I used one of those the top flew off and a little spring thing hit me in the face making me cry for over an hour.",Miss C Jonsson
56,5.0 ,12 Apr 2013,"I am not ashamed to say as a man I also use these. I do so consensually and in the privacy of my own home and am harming nobody in doing so. The liberated feeling of using a Bic pen created for a lady is nothing to be ashamed of, people used to look down upon a man using two different ink colours and we changed that, why shouldn't we change attitudes towards pens too? Bic Pride!",Michael Livingstone
57,5.0 ,13 Mar 2013,"I bought these pens for my wife, as an anniversary gift.  After admiring the gift wrap for what seemed ages, she reluctantly ripped the paper back to find this magnificent product.",Corey
58,5.0 ,01 Mar 2013,"I was young and impertinent, as I arched a brow at the package in my hand. BIC Cristal For Her? I scoffed and haughtily tossed my raven hair over my shoulder, sending it cascading down my back. I threw down the package and reached for the strong and thick man-pen which had always satisfied me. It's girth reassured me that IT was in control, and I gave myself over to my passion. I hardly knew myself as I boldly uncapped it's man-hood sheath with my mouth, holding it firmly in my teeth. As I fondled the throbbing spear of plastic, my page was filled with the hot, wet ink of its love. But alas, its arousal was too great, and spewed ink in a rage, covering my quivering mounds. Shocked and hurt at this betrayal, I vowed never to hold a turgid man-shaft pen in my hands again. Somewhat humbled, I picked up the BIC Cristal For Her package and delicately eased a slender, pastel pen from its hot sleeve of love. The silken warmth of  its body against my fingers sent delightful shivers up my arm and down to my secret nest of desire. We have been together happily ever since.",Howlin Walker
59,4.0 ,12 Apr 2013,Warning: Femininity can become dependent on pen.,Vi Tran
60,5.0 ,10 Apr 2015,"I gave these to all of the men in my office and they all received pay cuts a few weeks later! Thanks Bic for helping me to bridge the pay gap - at least, in my office.",Jessica Wilde
61,5.0 ,28 Nov 2013,"Let me tell you, I can't tell you how bad it is watching women struggle with man-pens.  They just can't seem to operate them, they're intimidated by the somber colors of blue and black and occasionally white, and then the pens just never seem, well, ""girly"" enough.  Finally, with a safe, pastel color and assurances from an impersonal company marketing exec that these pens are ""for her,"" I feel like I can finally give the women in my life a pen which they can handle comfortably and not feel like a man when they use it.  They even spell Cristal incorrectly, just so that special woman you give these pens to can draw a little heart over the letter i and cute-up that sterile, hyper-masculine package they come in.  Of course, I'd never allow a -man- to use one of these.  Goodness, one touch of the pastel pen and it's off to emasculation city!",Carlos Caro
62,2.0 ,28 Nov 2013,My 15 yr old son has been shutting us off... Hanging out only with his best friend Kyle ... When I was cleaning his room the other day I found these bic pens under his mattress along with fake eyelashes and ladies' underwear.. I talked to him and he opened up and came out to me. I could see the relief in his eyes. I hugged him and told him I would always love him no matter what his sexual orientation but if he EVER TOOK MY BIC PENS AGAIN I WOULD f&@₪ KILL him. Thanks bic for bringing a family back together,Yael Nussbaum
63,5.0 ,06 Nov 2014,wonderful for writing in your journal about your feelings,RedDixieCup
64,5.0 ,23 Jan 2013,"As a woman and a trial lawyer, I have been at a loss for many years as to how to pave a name for myself as a successful litigator.  The practice of law, particularly complex litigation, has been and in many places in the United States continues to be a profession dominated by men.  But that stereotype is changing as more women enter the the legal professional workforce.  I am proud to know that BIC has been instrumental in the introduction of feminine senisitivities to the practice of law.",Legal Lady BIC Pen Lover
65,5.0 ,30 Apr 2013,"It's the year 2013, and I still have cause to be shocked at the level of male favoritism in every imaginable walk of life. They've long strutted around the office with their crude, phallic, utilitarian pens like they own the place--and what is the woman's option? To make a spectacle of herself by wrapping her hand around one of these chauvinistic, male-designed pens, forced to hang her head in shame amid the smirks and snickers of her male co-workers as she signs an employee birthday card? Surely, I thought, I would never live long enough to see the day when women would find an equal footing in the work place.",S. Walton
66,1.0 ,12 Apr 2013,These pens do not sparkle enough.,Megan
67,1.0 ,29 Dec 2012,These pens are defective. i got them in the mail and they wouldn't vibrate...? Has anyone else had this problem?,Stevie
68,5.0 ,26 Apr 2013,"Thank you, thank you, thank you!!! For the past 20 years I've been in a loveless and mentally abusive marriage.  All because of ink pens!  With no women's pens out there for me to write with I've been unable to provide a signature for a checking account of my own, apply for a credit card, and sign my name for a license to drive, among hundreds of other things.  Every month when the bills are due I watch my husband write out the check signing his name with a smile of utter satisfaction on his face.  When I beg to be allowed use of his ""man-pen"" he laughs at me taunting saying, ""you want to use my pen? too bad you're just a woman"" or ""what? you want to touch this (as he holds his pen close to my face just out of reach)?  Never!"" and then he laughs and laughs and points at me while I sit there crying.  Oh how I've waited for the day I could hold my own pen in his face and say:  ""NOW who's in charge, Buster?!""  As soon as I get my driver's license I'm driving to the bank, writing myself a check for all the money in the bank, opening my own account, then going to a divorce attorney's office and signing on the proverbial dotted line....with MY OWN ""JUST FOR HER"" PEN!  Take that you male tyrant!  I stopped loving you when gel pens were invented and you refused to teach me to write with one!  Freedom is mine at last!  BIC is the BEST!",Sammy
69,5.0 ,29 Nov 2013,"I love the slim design...it fits perfectly in my tiny feminine hand and makes it so much easier to draw hearts around the faces of my favorite One Direction members in all the gossip mags. It's also quite handy for scrawling ""The Future Mrs. Justin Bieber"" all over the cover of my diary. Thanks, Bic! You TOTALLY get me!!",Kellie Holt
70,1.0 ,12 Apr 2013,"Men who are considering buying these for your wife,",James
71,4.0 ,20 Apr 2013,"Even though I'm a guy, I bought a pac of these pens on my therapist's recommendation to help me get in touch with my ""feminine side.""  i've been using these pens for a month now, and you just would not believe the change!  For one thing I'm no longer reluctant to ask for directions when I get lost!  My personal hygiene has improved immensely and I've started helping the Missus with the household chores!  Thanks BIC, you saved my marriage!",Sven
72,5.0 ,16 May 2013,Eureka!  What a pen!!! Just what the doctor ordered. It's strong enough for a man but made for a woman.,Edward Matus
73,3.0 ,12 Apr 2013,"I was so glad when I found out about this pen! Regular-sized pens were so unwieldy with my frail, womanly hands that I had almost given up hope of writing my novel. But since I've started using BIC Cristal For Her pens, I've come to realize so many truths about womanhood! Forget about writing a silly old book. I now see that my place is in the kitchen, and with these pens, writing my grocery list is a piece of cake! Now, I wear kitten heels and pearls while I clean the house. Aside from these wardrobe upgrades, I FEEL so much more feminine! Plus, I love yogurt now, and I never did before! I know it's not a woman's place to offer suggestions, but if you guys added a spoon attachment to these pens, it would be the greatest thing since sliced bread (which, incidentally, comes in much more handy now that I make my boyfriend so many sandwiches)!",momeraths
74,4.0 ,12 Dec 2013,"We're all joking about this, naturally (a woman using a pen - ridiculous!), but this could have serious implications. What's next, ladies attending universities? Pens to encourage literacy in the lower orders? The modern world is a mad place indeed.",K. Strzeciwilk
75,5.0 ,26 Dec 2013,"Thank you, BIC! Finally, I pen that I don't have to click to use. I cannot tell you how many times that I have tried to write a check for groceries only to be embarrassed that I couldn't operate the pen given to me by the cashier. I have tried to remember to bring my own pen but sometimes I forget. If it is a female cashier, we just stare blankly at each other. It is so embarrassing to have to leave the store empty-handed. If I could remember a 4-digit PIN, I would use a debit card but as a woman, this simply isn't an option. I will admit that removing the cap was complicated at first. Then my husband told me to think of it as a lipstick or a cleaning product bottle and WOW! It was so easy! I would recommend this product to anyone who struggles with complicated Man Pens.",Nicole Scott Smith
76,5.0 ,12 Apr 2013,"Every time I use my Bic Cristal For Her pens, I break out into song and dance around my living room. These pens make me feel so pretty, I just can't help but sing about it and share it with the world!",I feel Pretty
77,4.0 ,28 Nov 2013,"I’m a man with exceptionally delicate hands. Using standard pens has always been such a burden; my elegant, perfectly proportioned fingers could barely stand to grasp such barbaric instruments. You’d think that they were designed for a Neanderthal’s hands! Finally, thanks to Bic’s Cristal For Her Ball Pen, I am now free to write in comfort. I can write anything! Letters, checks, post-it notes, and much, much more! All without any hand cramps, callouses, or bleeding from under my fingernails, as usually accompanied any type of pen use, no matter how brief.",Osie Turner
78,5.0 ,14 Apr 2013,"I have never been so happy to have a Lady's pen in my life. My husband brought them home for me. They are perfect for writing down recipes while I cook, clean and take care of our seven children. My favorite aspect is that I don't have to push so hard on them, considering my frail, weak lady-like hands. Don't get me started on the color coordination. Each one matches my dresses and skirts. I've even bought nail polish to match. These pens are perfect for all women around, and they encourage us to look slim for our husbands, based on their slim design. I absolutely cannot get enough of these. I hope Bic can create similar cooking-wear and even ingredient cards.",Stephanie Robertson
79,2.0 ,12 Apr 2013,"I'm sorry BIC, but by this point in my life I've realized that at 5'10"" and being of statuesque build, I need a thick, long and strong-barreled pen, a pen who can make me feel protected and safe, and also meet my needs as a woman.  By this I don't mean dressing in pastel colors and causing me to suddenly start drawing unicorns and dotting my I's all funny. A 1.0 mm point?  What's the point?  Also I need a pen that can spell its own name correctly.",Spdykat
80,5.0 ,23 Apr 2013,"My mother was cleaning my room when she found a package of BIC Cristal for Her under my mattress. The next day, my parents and my pastor sat me down and asked me what the meaning was. I had no choice but to tell them the truth, that yes, I am gay. My family disowned me after that, and I hit rock-bottom. For months, not a day went by when I wasn't sniffing Sharpies or giving myself lead poisoning from No. 2 Ticonderogas. I went through hell, but I came out the other side. And if it weren't for BIC Cristal for her, I would not have faced the truth about myself, and come to accept the wonderful, valuable person that I am.",Christopher J. Mahoney
81,1.0 ,10 Nov 2014,"I had to log in to my girlfriend's Amazon account today because she has forgotten how to use her laptop, much less put things on the marketplace. She used to be better at all of this stuff than I am, but now I even have to post her crafts to Etsy for her and manage all of her money.",Lissa
82,5.0 ,08 Sep 2012,"This here is a wonderful invention. Now my wife can stop stealin' all my man pens that I leave all over the house.  I sure don't understand it bein' a man and all, but shoo-ooot, it sure is nice that she finally found herself a pen that's all her own.",DMS
83,3.0 ,17 Mar 2013,"My wife apparently bought these pens without my knowledge,the first time I attempted to use this pen, I noticed that holding this pen with my usual caveman monkey grip was impossible. The way it sat in my hand was exactly the way my first grade teacher had failed to teach me. When I went to work with this pen in my pocket, I was asked to get everybody's coffee, WTF! I was followed into the restroom by a couple of my coworkers, something did not feel right. I did notice that I was now able to write in cursive, I actually tucked my shirt in, my hair looked amazing, but for some reason my driving skills were terrible. After work I went to the local dive bar, I did not thirst for my usual Coors Lite, I craved mixed drinks with little umbrellas. I never had to pay for one drink, everyone was so nice. When I arrived home, I emptied my pockets and all these phone numbers fell on the floor, my wife then accused me of cheating and being some kind of fruitcake! To make a long story longer, my wife kicked me out, I lost my job, and was arrested for public urination while squatting like a female. My life is ruined, all because of this one little plastic pen. Damn You Bic!",Ralph
84,1.0 ,15 Apr 2013,"I was happily paying the bills after working hard all day when I started to feel...weird.  I finished my manly duties and then thought I'd go have a beer but ended up at the mall(!).  I don't even remember going there, but I knew I had when I found a Cinnabon wrapper in my truck one morning.  It turns out my wife had left one of Her pens laying around but I thought it was just a normal pen when I used it to sign checks.  Now my friends are getting pissed at me for keeping them on the phone too long and I have to keep fighting the urge to try exotic cheeses.  These pens should have a warning label or at least have a pleasant fragrance to warn men away.  If I could I'd give it zero stars I would, though I'd probably just hate myself for being so mean.",J. Stephen
85,3.0 ,12 Apr 2013,"Within an hour of using this pen, I now dot my ""I's"" with hearts, and have read ""The Notebook.""",Big Jim
86,3.0 ,13 Apr 2013,"I was so happy to discover these pens and couldn't wait to show my husband.  Little did I know a simple pen would expose my marriage to such stress.  Imagine my surprise when I walked in on my husband using one of the pens for his crossword puzzle.  He was so ashamed and apologized, but admitted he has been secretly using women's pens since he was a young man.",binkbonk
87,2.0 ,27 Jan 2014,"My husband doesn't let me use his pens when he's not around since he's concerned that I might injure my delicate wrist, so I was thrilled to see these Bic Cristal For Her pens.  I could barely wait for him to get home to tear the cardboard backing away from the blister pack to I could try these out.",Melissa Pott
88,5.0 ,28 Aug 2012,Now there's a pen just for me!!,L. Davis
89,5.0 ,05 Apr 2013,"This is the only pen I will use when I want to write down thoughts that I think of myself. My husband says a good wife doesn't have those kind of thoughts. That a thinking woman leads nowhere good, straight down the devil's path. But sometimes, late at night, I squat quietly in the bathroom  with a flashlight, my Lady Bic, and a piece of paper (I keep them all hidden in my flour jar), and dream about things like ladies being able to vote and work outside the home.  Oh, dear, I must get going. I hear my husband calling for a foot rub and his afternoon whiskey. Thank you, Lady Bic, for giving colorful, cristal wings to my dreams, evil as they are.",Tengel
90,3.0 ,13 Apr 2013,"Why, these pens are quite delightful!",kirstyboo
91,5.0 ,12 Apr 2013,"There is nothing better than uncorking a bottle of wine, dimming the lights, and slowly opening my package of Bics for Her Pens.  Who needs date night when I have these babies!",Kelly
92,1.0 ,16 Oct 2012,"I hosted a blind test of these pens for ladies at my ""Ladies' reading group for Ladies"" the other night.  As ladies with ideas about books for ladies, we sometimes need to write things, and I wanted to be sure my ladies ended up with the best writing implement possible.  My worry was that the BIC people would provide those of the female persuasion with a shoddy pen, just because they know that ladies like things for ladies.",Leslie41
93,1.0 ,05 Apr 2014,"I love these pens and have never had a problem. Unfortunately, my husband used one of these pens the other night. It was the only pen near by. The next morning we discovered that his penis had fallen off! It was a sad day.... for both of us.",Roxanne Marie
94,3.0 ,12 Apr 2013,"I love them!  Right from the first time I used them, my hand was no longer strained by those terribly enormous manly pens.  I noticed the difference immediately after, when applying make-up:  my hand was steady and creative.  Everyone kept asking what had I done to look so fabulous. I can't wait for the 2.0 version, that comes with pen on one end, and eyeshadow on the other.",M. D. Tarud
95,3.0 ,28 Nov 2013,"Thanks, BIC! My husband and I were really upset about our daughter's choice to pursue a higher education in science after receiving a chemistry set from her (confused) aunt for her birthday. Two weeks ago, we replaced the set with these pens and matching stationary. Now she's writing love letters to the wealthy boys in class! - well on her way to finding a husband who will provide for her while she produces offspring and handcopies the family recipe book onto nicer paper. Just like you, though, we're not that concerned about her ability to spell correctly.",Annick Marburger
