,index,Unnamed: 0,review_rating,review_posted_date,review_text,review_author
15,15,15,3.0,21 Feb 2018,"Great idea! Great for children in cutting up bananas for snacks or cereal and parents not having to worry about knives and their children cutting themselves. So if you are a parent and want something your children can use safely in cutting bananas this item is the real deal...but if you are looking to air/freeze dry or prepare bananas on a large scale for food storage, camping trips, or etc...this item is clearly not for you as its Very Poor in both design and quality. I have no issues with the item being plastic (again great for kids and safety issues) but for adult uses there are significant design and performance flaws. First, the internal so-called plastic edges are nowhere sharp enough to make clean multiple banana slices. Second, as one knows bananas have a high degree of stickiness and hardness if one doesn't remove the residue immediately after use. (Dishwashers won't even remove banana residues even on metal knives). So if you leave the banana residue on the slicer for any amount of time you have to place it under hot water and scrub each plastic edge to clean it...very time consuming. Third, the design looks fun and simple to use and as I said for kids and small to mediums banana a fun and nice product but for larger bananas its just doesn't work unless you first cut the banana in half. So in closing if you want this for your kids it gets 5 STARS for cuteness, fun and safety, but if you want this for any type of professional or large banana cutting I would give it a 0 STARS...thus three stars. I should have read the item details closer. So my fault in buying it for why I needed it. I guess I was a kid for a moment and loved the concept. :-)",Douglas R. Lyon
16,16,16,5.0,23 Jan 2019,"Why is this review asking me to rate the product’s battery life? Lol. Anyway, great banana slicer, my wife is really excited for the model 572!",Jason R
17,17,17,5.0,02 Jul 2015,This slicer has changed my life. I keep one in my first aid kit as a stretcher in case my hamster passes out (like he does when it gets hot out) Its helped me more times than i can count.,Stephen Greco
18,18,18,5.0,11 Jan 2016, Great product for when you are just too tired to cut your banana! Don't waste that extra energy or time. Buy this product now!!,kmdeeds56
19,19,19,5.0,15 Oct 2018,It took me a few tries to realize that you need to peel the banana before slicing. Otherwise works great.,uncas
20,20,20,5.0,12 Oct 2018,It works really well to slice bananas.. After slicing I put them individually laid down on a piece of press and seal lined cookie sheet. Freeze them and Wallah a nice thick banana smoothie! A good invention. Kind of cheap but it does the job,Gail
21,21,21,5.0,04 Dec 2015,"I have said it once and I will say it again: there is nothing more infuriating than an improperly sliced banana. I’m a busy person and stressful, hectic mornings are not unusual to me; so taking the time out of my morning routine to ensure an evenly-sliced banana is often out of the question.",a.noakes
22,22,22,5.0,21 Jun 2017,"Well, although the Hutzler 571 banana slicer did not save my marriage as it did in others experiences, I am pleased with the product. It slices a banana like a dream. When I got divorced, I lost the slicer to my ex. So much time has been wasted slicing bananas. But tonight? Tonight I got it back. I waltzed into my ex husband's house and took back what was rightfully mine! I'm looking forward to a new life. Me and my Hutzler 571 Banana Slicer!",HelpfulReviewertotheRescue
23,23,23,3.0,20 Jan 2014,"Got this as a wedding gift.  I thought it was for sex!  Boy was I wrong!  We had to go to the ER on our wedding night.  Three hours in the ER was not a great way to spend our first night married.  But... now that we know it's a real BANANA slicer, this thing really does work!!!",Tom
24,24,24,5.0,21 Dec 2014,"There was a time in my life when I did not own the Hutzler 571.  I will now forever refer to those days as the ""dark era"".  The time saved from having to slice my bananas by hand allows me to focus my time on this things I love to do.  Buying bananas for example.",VTratings
25,25,25,5.0,16 Oct 2017,"We LOVE it!!! Looks great on the wall too!!!  Perfect slices, easy to use, time saver.",yarvet
26,26,26,1.0,27 Jan 2019,Good product BUT:,Luis Gomez
27,27,27,5.0,14 Sep 2018,"This works incredibly! But after slicing the first banana, I realized that banana slices are messier to eat than the whole banana in the peel. Still happy I finally bought one.",klipsch
28,28,28,2.0,14 Jun 2018,"Dumb Idea, it takes longer to clean than to cut the banana.",Walter Carmichael
29,29,29,1.0,15 Dec 2019,"I don't know how they expect anyone to use this device without an instruction guide. It's just too complicated. Where do the batteries go? Where is the USB port?  There isn't even a user pdf available for download.  Fortunately, we were able to complete assembly on our own based on years of IKEA experience, but good luck to the novice. ""Banana Slicing For Dummies"" was also a helpful resource, but we really expected not to have to spend $49.99 on a book. In any case, the device doesn't include bananas, so the advertising is deceptive. One alternative is a $5,000 high quality 3D printer and software to print your own banana slicer. The ""flip horizontal"" function will allow you to print versions for bananas that curve left and for those that curve right. This is a more useful option for the serious banana enthusiast.",J. Oppenheim
30,30,30,5.0,17 Mar 2018,"Of all the unnecessary gimmicky things I've bought so far, this is the one I use the most. I wish the slices were a bit thinner so I could use it when I make banana pudding. Sturdy. Too bad I can only use it for 50% of the bananas. The ones that curve the other way I'm still using a knife. ;)",Patty V
31,31,31,1.0,18 Jul 2018,"Threw it away after first use ... bananas squish, then stick to it horribly.",Amazon Customer
32,32,32,5.0,29 Aug 2019,"Gosh. Where do I begin? How have I lived all my life without the hutzler? After reading the glorious and extensive reviews, I finally decided to impulse purchase this bad boy. I used my new boy toy immediately upon arrival, as in the next day to slice up my breakfast. There has never been a greater treat, than that of a perfectly sliced banana on my plate. Top with a smidge of honey and a touch of almond butter and it’s a breakfast to please all ages. 5 star ride. Would recommend to friends and foes alike. 🍌",AJ
33,33,33,2.0,04 Dec 2018,"My kids’ banana splits will just wave to wait, I guess.",Stephen Cumbie
34,34,34,5.0,03 Aug 2012,Once I figured out I had to peel the banana before using - it works much better.,Uncle Pookie
35,35,35,5.0,19 May 2017,Transformative for the breakfast experience.,Robert Thompson
36,36,36,2.0,09 Jun 2018,"My husband is doing to cooking now--he says the cutting edges are too short and he had to push the banana slices through by hand, one at a time.",Sunny Leigh
37,37,37,5.0,19 Feb 2016,"it's a banana slicer, who knew",Ken St. James
38,38,38,5.0,05 Apr 2018,"Even though it's made of plastic, it works fine. No need to spend much more money on metal blades. Bananas are soft and there is no resistance to slice it. My wife loves it.",chef121
39,39,39,4.0,10 Feb 2015,"Sadly, I have a unique problem.  The bananas I bought this week curl neither to the left nor the right; my bananas curl upwards.  Nearly sliced my d*** fingers into neat 1"" chunks.  Guess I'll have to wait for the right-curl bananas to be stocked at my local grocer.",mrswalnut
40,40,40,5.0,13 Mar 2019,It cuts the bananas just like you'd imagine. Cleaned up nicely...in the dishwasher. Nothing tricky or difficult about it.,Mz Patchouli
41,41,41,5.0,24 Aug 2013,"Having recently retired from the military I was looking for a way to start contributing more around the house and picking up more of the household chores.  My poor spouse's least favorite chores are cleaning the toilets (gee thanks, sure I'll take that one...) and, of course, banana slicing.  We just can't tolerate irregular/asymmetrical banana slices...It Just Won't Do.  I purchased this product and discovered a paragon of precision combined with speed and ease of use.",Jackie-the-Greyhound
42,42,42,5.0,03 Oct 2014,How did I live my life before I found this. It is a miracle worker. No longer do I need to meticulously cut my kids bananas for lunch wasting valuable minutes of my life but now this cuts them on in one push. I recommend this for any parent.,Lillykins
43,43,43,4.0,16 May 2018,Does the job I just think the slices are to thick. Thought they'd be thinner. The spacers are to far apart,Amazon Customer
44,44,44,5.0,26 Jul 2019,"I bought this gift for white elephant Christmas party. It was a fantastic purchase, and was loved by everyone. People were fighting over this gift at the party. I would totally buy another one. It’s useful and funny at the same time. Love it!",Carlene
45,45,45,3.0,17 Dec 2013,I just purchased the 571 as a gift but it didn't come with any instructions?  Does the Hutzler website have any instructional videos I can watch in case I'm asked for a demonstration?,BsyBunny26
46,46,46,5.0,24 Mar 2013,When I read the reviews on this product I was encouraged and ultimately ordered this.  I was so sure that the purchase would be helpful I purchased three to pass on to my adult children.  The slick device has really helped my marriage....thanks Hutzler 571...looking forward to 572!,Greg Richardson
47,47,47,5.0,15 Jan 2013,"When I was a small child eating a whole banana was an embarrassing, soul-crushing experience. Bananas are so large, and my hands were so small. As I grew, my hands never really became adroit at holding a banana, a pickle or any long smooth items, regardless of girth. Thicker made it more difficult. One day, when I was about 17 someone suggested that I slice the banana and try eating it that way.  I was confused. Did I slice it like a ninja with a sword? Did I hold it with one hand and cut into it and let the pieces fall into my lap?  Finally, I decided to lay it on my leg. As soon as I held this massive long yellow object on my leg I began to get nervous. Nothing that long and thick had ever been on my leg before. My hand shook. My heart raced. I became flushed. As I went to cut into the banana I blinked nervously, and the knife cut just the tip of the banana, but it also took off the top of my thumb and plunged into my leg. Laying there in the hospital I thought I would never be able to enjoy the sweet goodness everyone else loved so much.  Thanks to this wonderful Godsend, I can now slice my bananas and smile as I lay that sweet slice in my wet mouth. Oh the joy. The ecstasy. I finally feel complete, despite the limp.",Reviewer X
48,48,48,4.0,16 Mar 2018,Works great and easy to use. Only negative is it is hard to clean.,Fa Leasha J Johnson
49,49,49,5.0,07 Mar 2019,I received the Hutzler 571 as a project recognition gift from a colleague after the topic of cutting bananas' complexity came up in some of our engineering meetings. Been using it daily since and loving it!,Ran Davidi
50,50,50,1.0,10 May 2019,Useless. Just useless. Just a flimsy piece of plastic.,nicole r shabaz
51,51,51,3.0,21 May 2018,"I love it in a way.  It's great for large slices to put on a skewer with other fruit, but to big a slice to put in your cereal or in banana pudding, which is what I wanted to use it for.",Amazon Customer
52,52,52,5.0,31 Aug 2018,Bought it for my husband and he loves using it to slice up the bananas for the freezer and his cereal.,Sheree
53,53,53,5.0,31 May 2014,Rumor was there was a 5 year wait to get a tattoo done by the best artist in town...I was anticipating getting my sleeve fun finnished by her...so I figured a little bribe might help get me in sooner...so I decided to order her one of these gems...and wouldn't ya know...boom I got in for an appointment in only a month?!?!? Thank you Hutzler 571 for making my dreams possible!!!,AmandaLynn
54,54,54,1.0,22 Jan 2019,"Cheap Plastic, 2 slicers were broken when it arrived. Not very happy with how it works, unless you like thick banana slices",JoHn FrOm OrEgOn
55,55,55,5.0,10 Mar 2018,My grandson loves his banana slicer!,James Bailey
56,56,56,5.0,06 Nov 2019,Made a great gag gift. Make sure you get the review book with it.,Lorraine R.
57,57,57,5.0,17 Jan 2013,"A banana had fallen off the table and I hadn't the will to pick it up. At the moment, curiosity got the better of me so I opened an Amazon package received weeks earlier. I pulled out the 571.  I felt empowered. I felt emboldened.  I felt alive.  I picked up and peeled the banana, and used the Hutzler 571 to cut slices. The slices were perfect. But, more importantly that deadly hazard had been removed from the floor. I shudder to think that it could have been me lying on the floor had it not been for my new Hutzler 571.",Amazonian Drone
58,58,58,4.0,16 Feb 2019,Works good. Slices a little bigger than I wanted but it’s good enough.,NJShopper
59,59,59,4.0,17 Mar 2013,"The Hutzler 571 has removed the social dysfunction and discomfort that comes with co-workers gobbling down uncut bananas.  I bought several and left them in the office kitchenette.  Now it looks like people snacking on potato chips.  There is also no more banana smuggling for me.  The old cleche of ""is that a  banana in your pocket, or are you just happy to see me?"" is the kind of mockery I will forever avoid as I now handle my banana in private at home and show up to work with a tupperware full of delicious banana slices.  My pants fit better now too as I avoid the overcrowding that comes with banana smuggling.  From here on out, I WILL be just happy to see people. :)",Michael Oakes
60,60,60,5.0,21 May 2019,Was so amazing works like a champ thanks again,Brandon
61,61,61,5.0,05 Dec 2015,"Now my life is finally complete. I do not know what all other 570 prototypes flaws were, but Hutzler finally nailed it. I am currently working closely with their R and D deptartment to develop a metric and left-handed versions. The price point of course will be a bit higher and we cannot offer free shipping to anyone including prime members due to the projected high manufacturing costs.",paul quebodeaux
62,62,62,4.0,12 Jul 2018,Only complaint is slices are big. Wanted something easy and quick for dehydrating. Work as advertised.,John Marsula
63,63,63,5.0,18 Jun 2019,Hilarious and functional,Joseph K.
64,64,64,5.0,03 Apr 2019,Nice product,Kindle Customer
65,65,65,5.0,15 Jul 2013,It became a huge Icon of comedy which I had to have one.  The picture reviews are awesome and I gave it as a gift based on the viral video/pictures.  Great gag gift although not intended to be (I don't think)  This went over great with people familiar with the  viral pics.,Landru
66,66,66,4.0,24 May 2013,How do you use this thing?  And which side of the slicer do you use to slice the banana?  I might have used the wrong side as it made a mess.,Mitchell
67,67,67,5.0,07 Feb 2014,It used to be such a pain to get out a knife to cut my bananas. Talk about time consuming! Now all I have to do is pull out this handy little tool and I am done in a fraction of the time.,rach
68,68,68,5.0,07 Aug 2018,This banana slicer is easy to use.  I wish I had it long ago.,sjctenn
69,69,69,5.0,02 Feb 2014,"Before I purchased the Hutzler 571 Banana Slicer, my life was dark. No anti-depressants, or psychotherapy could penetrate the deep, dark fog brought on by my complete lack of ability to slice a banana into equal pieces. I tried several different therapists, and a host of medications, both prescription and health-food store quality OTC's. Nothing helped. Knives, rulers, harps, ceiling fans, chipper-shredders, and my OCD concerning banana slicing, was driving my family to the brink, and the sheer horror of having to peel the banana and bite it with my teeth was destroying my ability to function in polite society. I made my plans to build a tiny house and live off the grid. I was dropping out of my life, and my potassium levels dropped to a dangerous low. But, while perusing Amazon for a tiny washing machine to place inside my tiny house, I came upon this little, life-altering gem. Now, with normal potassium levels, and with my OCD manageable again, I can finally give up living ""off-grid"" and retire, living in my McMansion, and filling it with craptacular items purchased from my local Wal-Mart. How lucky can you get? My relatives are already arguing over who gets this marvelous contraption upon my demise. Won't they be surprised when they look into their Christmas stockings next year? Because I'm now stockpiling the Hutzler 571.",lin8
70,70,70,5.0,28 Nov 2012,"This gadget is so neat!  I never knew something like this was out there.  We use a lot of bananas and this saves on time and wrist and finger action, which is important for those with arthritis or for those wanting to reduce wear and tear to prevent arthritis.",kitty
71,71,71,2.0,03 Aug 2018,"Too big, much larger than shown.",Nancy
72,72,72,5.0,09 Feb 2013,"The gift for the person who has everything.  Makes nice, neat little slices of bananas just like mom used to cut...only PERFECT.",Monica Hess
73,73,73,5.0,29 Jul 2017,"Have you ever tried to slice a banana on an inter-galactic spaceship? I had to hide the embarrassing manual process--banana in hand, knife in the other, atop the galactic map counter, hacking away at it... I was a basket case until the human relations AI Balthazar ordered for me the Hutzler 571 Banana slicer. When the Amazon drone--what spectacle that was!--dropped in on the ship just before we went into FTL flight, my confidence, and thus standing with the crew changed dramatically. After consistent and systematic repeated use of the Hutzler banana slicer--the plastic held up beautifully during the wormhole passage--I was catapulted to ship's captain. I went from hiding with embarrassment in my dark, little bunk to sitting pretty in the captain's chair on the bridge. Like a god! To say nothing of the BIG cabin and fantastic glam uniform with lots of gold and ribbons. Now I face the galactic powers with confidence. When encounters get tough, I whip out my banana slicer and show those snooty Zdas with way too many beady eyes my prowess with the banana slicer. And they simply fold in whimpering terror..",Aeneas
74,74,74,5.0,24 May 2018,Holy cow - IT REALLY WORKS!,Wendy in Florida
75,75,75,5.0,10 May 2014,"When I got my first Hutzler 571 Banana Slicer, I was amazed. I took out a banana, peeled it, and sliced it into multiple pieces (hence the name banana slicer). When I was done, of course I threw away the peel and the slicer. It was clear from the name banana slicer was only good for a single use. But it was so incredible.  I know what you are thinking – the 571 means it is for 571 bananas. No, that is a model number. Wake up people!",Amazon Customer
76,76,76,5.0,07 Jan 2014,"The person who received it was very bitter, gift success! It was worth every penny, and I recommend this product",court
77,77,77,5.0,20 Jun 2018,It's fun and it works perfectly,jlc
78,78,78,5.0,01 Mar 2013,"View this video to see this profound piece of human engineering, and marvel at the 8th wonder of the world!",Brett Abramson
79,79,79,5.0,17 Feb 2019,Best banana slicer on the market.,nick w
80,80,80,2.0,07 Feb 2013,"I have always struggled with knives. The knicks, the cuts, the trips to the ER to have fingers sewn back on.",Robert Shaw
81,81,81,4.0,26 Feb 2014,"I was so excited when my Hutzler 571 arrived I could hardly contain myself.  It shipped in a padded envelop, and on inspection there were no scratches or signs of mishandling I often see on other banana slicers I've ordered.  The build quality is acceptable given the price point.  Of course I own a full set of silver banana slicers for use on special occasions and frankly this is no match, but if you want a simple/no-frills banana slicer that you're not afraid to let the kids practice with, then this model is a decent compromise.  It's much larger than it appears in the picture -- so much so that you could easily slice two average bananas at once.  This was an unexpected bonus, and something Hutzler should more prominently advertise.  The resulting banana slices themselves are a little on the large side which really took some getting used to, but given the efficiency of their dual-banana technology I think this is a fair trade-off.  The one complaint I have is the manual - or lack thereof!  I was left to search the web for videos, and had to reverse-engineer the banana slicing process.  Although I managed to get it working properly in the end, many may not have the patience required for this.  Unfortunately this is enough for me to not recommend the product for those without some prior banana slicing experience.  Hutzler could remedy this by including a brief manual with less than 30 pages of instructions and I would update my review to 5 stars!",staples
82,82,82,5.0,28 Jun 2014,"I wasn't sure what to expect when I ordered the Banana Slicer. Oh, I'd heard rumors on the street and at the water cooler in the office, but my mind was still blown. If I had to guess this technology could only have come from secret government agencies like Area 51 or the CIA. Simple enough to slice a banana, but still cut throat enough to interrogate at Guantanamo Bay, the 571 does it all! I only wish I hadn't waited so long to make it part of my life. It enriches my mornings and keeps me safe at night. Thank you Hutzler and God Bless America!!!!",Barry Cassell
83,83,83,5.0,12 Nov 2016,"Awesome, it comes in handy.",Abby
84,84,84,2.0,15 Dec 2019,Needs to slice thinner pieces otherwise great product,drew
85,85,85,5.0,15 Feb 2013,"I decided to splurge for Valentines Day yesterday and get this for my wife. When she opened the nicely wrapped gift, she was elated! I was showered with hugs and kisses! She told me that it was THE most romantic gift that I could have bought her! Needless to say, it came in handy last night...",Kenn2ns
86,86,86,5.0,28 May 2013,"After reading the other reviews of the Hutzler 571, I was cautiously optimistic that this could be one of the finest pieces of kitchen equipment I may ever own.  I'm here to tell you, it's true.  From concept, through design and execution, the Hutzler 571 stands head and shoulders above the competition.  Its functionality is beyond reproach.  If you only buy one thing for your kitchen, make certain it is the Hutzler 571 - you won't be sorry.",Chris U.
87,87,87,5.0,12 Sep 2015,Worked as advertised,Clark Newton
88,88,88,5.0,10 Feb 2014,"I never understood why I couldn't cut my bananas properly until I got this great banana slicer. The whole thing was that I didn't place them in the correct position before slicing. With the Hutzler 571 I never go wrong. Not only does it make the right position automatic, it makes the cuts exactly the right width, and effortless to boot. Be sure to get the genuine Hutzler 571 and avoid all the Johnny-come-lately imitations.",Andrea Studebaker
89,89,89,5.0,02 Mar 2013,"This banana slicer is one of the silliest kitchen gadgets I have ever seen, so I just had to get it for a friend of mine as a gag gift. She was surprised such a thing existed when I gave it to her, at first she said "" no, it's ok, keep it, I don't know what to do with it, I use a knife to slice my bananas, My drawer is too full for this thing,"".... blah, blah, blah... long story short, she took it home with her, I didn't want it ... lol.",Marianne Wilson
90,90,90,5.0,20 Mar 2013,"I could not imagine life without it...I now have more me time! Thank you Banana Slicer, you are so awesome.",ASHLEY
91,91,91,4.0,26 Dec 2012," A quick video of me trying out the banana slicer on a couple of different items (bananas, cucumbers, plantains). I neglected to mention in the video that the slices are a little thick and that hopefully when they release the 572 it will have adjustable slice-thickness. Also in the beginning I say ""unsliced"" when I clearly meant ""non-pealed."" Sorry about that.",Steve Aye
92,92,92,3.0,19 Apr 2013,"I set out to use my new Hutzler 571 Banana Slicer this morning with great anticipation. However, I was foiled by the Hutzler's inability to handle my banana. For those of us with severely curved bananas, the advertising for this product is misleading; it is actually a two-person operation to slice such a banana. While one person carefully straightens the stiff banana without fracturing it, the other person applies pressure to the top of the Hutzler. I am giving this product three stars because the result is perfectly sliced bananas when the Hutzler is used with a friend.",Kindle Customer
93,93,93,5.0,10 Sep 2013,"Hello fellow banana connoisseurs, im writing to you to inform you about the product of the year. While it may seem like a simplistic product that even a toddler could create, it is much more than that. This is innovation. A fellow friend of mine discovered this product and it has done nothing short of change my life. You might be saying, "" This is a cheap piece of plastic with zero purpose."" Well im here to tell you its much more than that. A cheap piece of plastic is a lego.... You get a box of 3 billion of them and they expect you to figure out how they fit together. um no..... not happening. The HUTZLER 571 is happening. You don't have to worry about making the banana fit because it doesn't, you just make it work. That's how good of a design they have created. Simply flawless. So if you are looking to get ""Turnt Up"" on your average weekend night, this is my recommendation of a good time! This product is America in every way, so pay the two dollars. Its two dollars of fun that keeps on giving. ;) So heres to the product of the year, THE HUTZLER 571. If you are questioning what happened to the other 570 models, then don't. This thing is so effective that it just blows the previous model off the shelf! Signing off, bananaguy.",bannaguy
94,94,94,5.0,20 Mar 2013,"The Hutzler Banana Slicer has made the difference for me. I honestly don't know what I did before I had this fabulous product in my life. All that agonizing banana slicing was completely stressing me out! Now I'm calmer, and can step forward into each day with a sense of profound well-being.",dancer2122
95,95,95,5.0,17 Jan 2017,I just bought it as a goof present. She actually uses it. It's not an unusual sight to see little sliced up bananas all over her kitchen counter now. Brownie points!,Amazon Customer
96,96,96,5.0,20 Dec 2012,"Getting the perfectly sliced banana in the morning has been an elusive task for some time.  Using the variety of products that I've ordered off of Amazon.com, I thought I was coming close to a working solution with my Syma 107 helicopter, but it was tricky.  You have to have the chopper running on your kitchen countertop at about 50% throttle with you leaning over it.  Now drop a pre-peeled banana downwards at the same time you mash the gas.  If all works well, at the moment just before the chopper begins to take flight with the rotor blades reaching their peak velocity, the banana drops through them and is perfectly sliced.  You must release the throttle rapidly upon completion of the slicing or the chopper will shoot sideways across the kitchen and embed itself into the wall.  Needless to say, some technique perfection was required, and if you miss dropping the banana into the blades, you risk having the chopper shoot straight up at you and whack you really good in the face. (hopefully you don't lose and eye or something!)",Pontius Pilot
97,97,97,5.0,01 Jan 2014,As many of you know during World War 8 evil aliens dug up Hiter's corpse and resurrected him using the power of science.  SCIENCE!  The only way to stop the evil Hitler and the evil aliens was with the HOLY BANANA SLICER.  My comrades and I went on a quest to obtain the HOLY BANANA SLICER for SCIENCE!  Heroic soldiers heroically defended the earth heroically while my heroic comrades and I heroically fought off evil aliens heroically while heroically charging towards the center of the earth heroically while on our heroic quest to heroically obtain the heroic HOLY BANANA SLICER.  After obtaining the heroic HOLY BANANA SLICER we heroically charged down the rainbow bridge heroically while heroically shooting heroic laser beams out of our heroic HOLY BANANA SLICER heroically.  We then heroically slew the evil Hitler with our heroic weapon with our heroic comrades.  Our heroic accomplishments are heroically recorded into heroic history textbooks as many of you heroically know.,Soreasan
98,98,98,5.0,24 Feb 2013,"Academia will argue over exact dates and places, but the history of mankind can be generally defined by three major events. The creation of the universe is, of course, first. The physical illumination of the world, through the discovery of fire, is second. The intellectual illumination of the world (scienticians argue if this was marked by sliced bread, or the realization that Keanu Reeves is, in movies and in real life, the ""one"") represents the third event.",Robert
99,99,99,5.0,02 Nov 2019,Wtf.,David Espinoza
100,100,100,4.0,15 Feb 2013,"I recently purchased the Hutzler 571 Banana Slicer.  I have looked for a way to slice my banana in one motion rather than the repetitive task of slicing a banana.  I was very pleased with the slicing ability of the Hutzler 571 Banana Slicer, but I did encounter one large problem.  The banana residue left over from the slicing action is not easy to clean out.  A sponge is too big and a pipe cleaner too small.  I am left with a dirty slicer and no way to cut my future bananas as purchasing multiple slicers is just too expensive.  I need a product specifically tailored to cleaning the Hutzler 571 Banana Slicer.",Clementine Honeybutter
101,101,101,5.0,23 Jan 2013,"I thought I knew what banana slicing bliss was when I got the now-obsolete Hutzler 561 last year. But when I upgraded to the 571, I could not believe the difference! Let me compare:",George Waters
