,0
10,"Le cuffie Aukey rispecchiano perfettamente la descrizione ed il pacco è arrivato in anticipo di una settimana. Più nel dettaglio: -Le cuffie Wireless sono maneggevoli, piccole, discrete e touch (non hanno pulsanti). -Arrivano in un pacchetto contenente un libretto di istruzione in 5 lingue diverse; una ""Quick start guide""; Garanzia di 24 mesi; 3 paia di gommini di diverse dimensioni ( S, M, L) per adattarsi meglio al padiglione auricolare e non cadono facendo esercizio fisico; cavetto per ricaricare con uscita USB. -Sono semplicissime da usare: è necessario accendere il Bluetooth dello smartphone (o altro dispositivo), fare la ricerca e collegare gli auricolari. Questi si accendono con un tocco leggero per due secondi. -Il case (la custodia) si ricarica completamente in 2h e permette di caricare le cuffie circa 4 - 5 volte. -Inoltre, io ho uno smartphone Xiaomi e sono compatibili nonostante non sia scritto in descrizione. Comodissime."
11,"Arrivate con un giorno di anticipo rispetto alla consegna programmata tramite corriere Amazon, il prodotto rispecchia la descrizione del venditore. Le recensisco dopo una settimana di utilizzo e le trovo molto comode, sia per ascoltare musica in quell'ora di esercizi casalinghi per tenersi in forma in questo periodo, sia nel parlare al telefono. Nel consueto pacchetto/scatolina Aukey marrone troviamo il case elegantissimo che a primo impatto sembra fatto di pelle nera, con all'interno i due auricolari marchiati Aukey, il cavetto per ricaricare, 3 paia di gommini per tutte le tipologie di orecchie e l'immancabile libretto di istruzioni. Come già detto sono molto comode e durevoli in più il suono esce limpido e potente e le conversazioni non risentono dei consueti fruscii che altre tipologie di auricolari hanno. Dopo il primo accoppiamento in cui come sempre dobbiamo effettuare la ricerca tramite bluetooth del nostro smartphone, le cuffie, ai successivi utilizzi, andranno a ricercare in automatico il nostro telefono e si collegheranno in semplicità. Facilissimo il trasporto."
12,"Queste cuffiette sono a dir poco strepitose . Comprate a 31.99 invece di 39.99 , la marca Aukey è una garanzia . Innanzitutto la custodia è molto particolare, sembra fatta in pelle. Il tempo di ricarica completa della custodia è di circa 2 ore e si riescono a caricare anche 4 volte gli auricolari. Il peso complessivo è di 68 gr,leggerissimo. Gli auricolari hanno degli indicatori LED , rosso ,bianco ,lampeggiante . Il suono è perfetto, anche a 8 metri di distanza non ho avuto problemi . Avevo altre cuffiette aukey , regalate successivamente alla mia famiglia, non sceglierò mai un'altra marca perché penso che questa sia la migliore in questo campo. Le consiglio"
13,"Non è la prima volta che acquisto qualche prodotto di elettronica da Aukey e anche stavolta non sono rimasto deluso! Le cuffiette arrivano in una confezione di cartone semplice ma ben progettata. Nella scatola, oltre alle cuffiette con la loro custodia, troverete un cavetto di ricarica e tre paia di gommini di dimensioni diverse. Utilizzo i medi e vanno benissimo, le cuffie restano ferme e sono comodo da usare. La custodia è piccolina e carina e consente di ricaricare le cuffiette per 4-5 volte circa. L'audio è ottimo, i suoni sono puliti e i bassi presenti. Si accoppiano subito con lo smartphone e mantengono bene la connessione. Le cuffie sono touch e, parere personale, presentano uno stile moderno e semplice molto gradevole. Al prezzo di offerta a cui le ho trovate sono davvero un ottimo acquisto. Compratele e non ve ne pentirete!"
14,"Acquisto spesso delle cuffie wireless per fare i regali ai miei nipoti, ma anche perché mi piace ascoltare la musica e ne tengo un paio praticamente ovunque. Siccome ne provo molte posso garantirvi che le Aukey sono sempre le migliori come rapporto qualità prezzo. Le confezioni sono sempre ben curate, il cofanetto di queste è morbido, sembra pelle. Le cuffiette sono piccole e leggerissime, stanno molto bene nell'orecchio e hanno un ottima qualità del suono! I bassi non sono fastidiosi, e gli alti anche se di mette il volume al massimo, non gracchiano! Il volume totale non è da ""spacca timpano"", ma comunque la musica è molto alta. Sulle cuffie è presente un tasto touch, quindi non cliccabile, ma sensibile al tocco. Toccando una volta si stoppa la musica, toccano due volte si manda avanti la canzone (con il destro) o indietro la canzone (con il sinistro). Io non ho trovato il modo di regolare il volume dalla cuffie è l'unico difetto che ho trovato. Il cofanetto ha la ricarica micro USB, e avrei preferito una tipo C di ultima generazione. In chiamata si sentono bene e il nostro interlocutore non ha se fruscii e ne suoni fastidiosi. Io le consiglio...anche perché Aukey è veramente un ottima marca come rapporto qualità prezzo!"
15,"Le uso da circa una settimana e devo dire che ne sono rimasto davvero soddisfatto, ottime per le telefonate. I rumori di fondo sono filtrati in modo adeguato. Consiglio l'acquisto."
16,"Motivi per cui acquistare queste cuffie: 1) la qualità del suono è molto buona 2) si riescono a fare chiamate di buona qualità 3) Durata della batteria veramente eccellente (le ho stressate parecchio e hanno una durata di circa 5/6 ore). 4) nella confezione sono presenti diverse taglie di cuscinetti per orecchie e quindi sono adattabili. 5) il bluetooth prende fino a 15 metri In definitiva, state tranquilli è un prodotto di qualità e ha un buon rapporto qualità prezzo"
17,"Oramai, dopo quasi una mezza dozzina di cuffiette wireless comprate e puntualmente requisite dalle mie figlie, sono diventate un esperto di cuffiette senza fili e tra le quelle più pratiche, longeve a livello di vita di batteria e dotate di grande qualità, le cuffiette senza fili di Aukey sono il classico modello alternativo che non ti aspetti. A fronte di una custodia un po’ piccolina e quindi di una batteria di ricarica non molto grande, sull'altro piatto della bilancia ho trovato una qualità sorprendente sia in ascolto sia in conversazione e un comfort estremamente comodo. Sono molto buone anche per l'isolamento che permette di usarle in treno senza dover alzare troppo il volume. Solo 2 consigli, per chi decide di acquistarle: 1. bisogna sistemarle bene nell'orecchio, pena una perdita drammatica delle frequenze basse (errore che io ho fatto nei primi giorni di utilizzo, durante i quali mi sembravano suonare malissimo e ""stridenti"") 2. necessitano di qualche giorno di rodaggio, prima di esprimersi al meglio (io ho notato dei miglioramenti dopo circa 1 settimana di utilizzo). Ottimo il reparto del microfono, ma veniamo alla parte che interessa di più per un'eventuale acquisto: l'audio. Devo dire che il suono che esce da queste cuffiette Aukey è molto pulito ed in generale buono su tutte le frequenze. Per quanto mi riguarda un po’ carente sui toni gravi ma si sa, questo fa parte delle preferenze personali. L’audio con le chiamate telefoniche è ottimo, senza interruzioni, distorsioni. La custodia, come per tanti modelli in commercio è un power bank, oltre ad essere il caricatore. Un volta effettuata un ricarica completa, consente di aumentare molto la durata della carica delle cuffiette, semplicemente riponendole al suo interno. Il rapporto qualità prezzo lo trovo eccellente, per delle cuffie auricolari total wireless. Importante per tutti noi è che questi ottimi auricolari bluetooth sono venduti su Amazon, pertanto godono di tutta la garanzia verso il cliente, che da sempre contraddistingue Amazon, mi sento pienamente fiducioso di consigliarne l’acquisto."
18,"Uno spettacolo, Aukey non mi delude mai! i miei precedenti auricolari hanno deciso di fare un giro in lavatrice e ho dovuto trovare un degno sostituto perché, lavorando in ufficio, non posso farne a meno. Non avendo alcuna intenzione di ricomprare le Air pods visto il loro costo, ho scelto inizialmente diversi modelli di cuffie bluetooth economiche, fino a scegliere queste dopo diversi tentativi. Sono super soddisfatta dell'acquisto, perché posso dire di aver trovato una qualità sonora che eguaglia gli Airpods. Finalmente delle cuffie economiche con bassi decenti e un suono non tendente agli alti. in chiamata sono chiari e l'interlocutore riceve un segnale pulito, mi hanno anche detto che vengono piuttosto isolati rumori ambientali dell'ufficio. I comandi touch sono piuttosto intuitivi e reattivi E con questi è possibile avere il controllo di tutto, dalle chiamate alla musica. Il case piccole discreto e consente diverse ricariche. Per il prezzo pagato sono un vero best buy per chi cerca delle cuffie con una qualità sonora ottima."
19,Conosco e pratico da poco questa marca. Devo dire che mi ha piacevolmente sorpreso. Buono il rapporto qualità prezzo. Le cuffie hanno una buona resa audio ed isolano bene dai rumori esterni. Basetta di ricarica testata per 3 ricariche piene. I due auricolari si posso anche utilizzare separatamente associndoli a due dispositivi diversi. Velocissime nell'accoppiamemto con dispositivi bluetooth. Il volume massimo rimane un po' basso me è una questione soggettiva. Tutto sommato un buon prodotto.
20,"🔝 Inizierei con il dire che Aukey è sempre una garanzia, e anche in questo caso non si è smentita! La qualità di questi auricolari è veramente ottima e l'isolamento acustico molto elevato. 🔝 📦 CONFEZIONE: La confezione è minimal e senza fronzoli e contiene - Case di ricarica con all'interno gli auricolari - Cavo di ricarica (micro-usb) - Gommini di ricambio di diverse dimensioni (3 misure) - Manuale d'uso rapido e garanzia 🔊 AUDIO: Ottima la riproduzione delle medie frequenze, bassi profondi e alti di buona qualità. Anche la qualità delle chiamate è assolutamente convincente con un suono chiaro per entrambi gli interlocutori. ✅ PRO: - Ottima qualità del suono - Connessione blue-tooth stabile - Possibilità di utilizzare anche un solo auricolare lasciando l'altro nel case - Funzioni touch semplici e precise - Buon audio in chiamata ❌ CONTRO: - Non ho rilevato alcun difetto importante, unico neo assolutamente trascurabile è che utilizzando un solo auricolare la funzione di avanzamento/retrocessione traccia è limitato. 💰RAPPORTO QUALITÀ/PREZZO: Ottimo 🚚 SPEDIZIONE: Sempre 🔝 grazie ad Amazon"
21,"Ho acquistato prodotti AUKEY sempre in serenità, consapevole della validità di questa marca. Dopo caricabatterie, power bank e cavetti in generale, ho voluto acquistare questo paio di auricolari Bluetooth poichè sono un appassionato di oggetti di questo genere e cercavo qualcosa di valido da poter accoppiare alla mia Fire Stick. Gli auricolari sono belli da vedere, comodi da indossare e hanno un'equalizzazione veramente strepitosa: bassi potenti e alti cristallini, mentre i medi risultano un pò sovrastati dai bassi. Un difetto di questi auricolari è che non permettono di regolare il volume con il tap su di essi, ma solo tramite il dispositivo a cui sono collegati. Il volume massimo è insopportabile, ovvero, suonano veramente forte! Difficilmente le adopererete al massimo. La confezione è di buona fattura, di plastica con una trama che sembra di pelle, i gommini di ricambio (in 3 misure) sono i soliti di questa categoria ma quelli montati sono di un materiale espansivo che ne risalta l'isolamento acustico passivo. Sono stracontento dell'acquisto e ve li consiglio anche per guardare la tv. Infatti accoppiati con la mia Fire stick 4k suonano benissimo."
22,Le cuffie si presentano in una confezione molto smart. Confrontandole con altre acquistate in precedenza ho apprezzato molto la compattezza della custodia che fa anche da box ricarica. La qualità dei materiali è alta così come il suono e la qualità in chiamata. Essendo blueooth 5.0 è possibile collegare anche 2 dispositivi contemporaneamente. In termini di durata con utilizzo frequente di 5/6 ore al giorno durano 2 giorni. In conclusione direi che è un acquisto perfetto.
23,"Vraiment confortable avec les commandes tactiles qui vous permettent d’augmenter / baisser le volume, changer de chanson et faire une pause. Excellente qualité et son. Ils ont divers embouts en caoutchouc pour s'adapter à différents types d'oreilles. La charge semble rapide et la durée de vie de la batterie est bonne. Je n'aurais pas pu trouver mieux : )"
24,"""J'ai en ma possession divers écouteur casque sony,bose, audiotechnica, jvc. Niveau son il manque peu être de basse ma la je compare bien sur avec des casques filaires beaucoup plus cher, on va dire que j'ai seulement 1 écouteur filaire bose et 1 casque bluetooth dans la gamme de prix de 80-100€ et le ils sont beaucoup moins bon au niveau de son. Si il y a une version plus cher avec un meilleur son je n’hésiterai pas a acheter. Niveau confort rien a redire dans mes oreilles les écouteurs ne bouge pas, parfait pour des oreilles de taille normal ma sœur n'a pas la mémé aisance avec ces écouteurs car je n'arrive pas a mettre les petits embouts. Je fais une session de running/art martiaux il n'est pas tombé. Vraiment facile lorsqu'on on a l'habitude, je conseil vivement de lire la notice, avec sa batterie de monstre cela presque une semaine que je l'utilise 1-2h par jours et il y a toujours 3 leds allumé. Pour conclure même si le nom de marque est un peu bizarre si vous n'avez pas de petites oreilles je recommande vraiment, un son équivalent a des bose soundtrue (même si pas la même signature), une très grosse batterie, avec un design assez bien réussis @@！###"
25,"Tout d’abord, mettez ces écouteurs dans une belle boîte pour les protéger. Le manuel est disponible en français et vous garantira que vous avez des doutes quant à son utilisation, mais en réalité, il est très facile à utiliser. Esthétiquement très élégant et discret, ergonomique, bien conservé. Les écouteurs ont une bonne autonomie, le contrôle par les boutons sur les écouteurs est efficace, et j’ai également testé les conversations téléphoniques, sans problème. La pleine charge est rapide et la durée de vie de la batterie peut atteindre plusieurs heures. Plusieurs pièces de rechange pour l’oreille dans la boîte peuvent offrir un confort optimal à de nombreuses personnes. Ils sont légers. L’entretien est parfait"
26,"Cette paire d'écouteur bluetooth est un véritable coup de coeur ! Elle possède une parfaite qualité de son, les basses sont géniales. C'est d'ailleurs la raison de mon coup de coeur. Elle est facile d'utilisation et très pratique: on peut changer de chanson, mettre en pause ou augmenter/baisser le son simplement en pressant les écouteurs. L'indicateur du niveau de batterie est très clair. D'ailleurs en parlant de batterie: elle est possède une grande autonomie. Je les utilise depuis 6 jours à raison d'1h par jour et ils n'ont toujours pas besoin d'être rechargé. Le maintien est topissime: les écouteurs ne bouge pas et son très confortables (testé lors de différentes activités telles que sport, ménage etc.). Certains se posent surement la question des lunettes: cela ne pose absolument aucun problème. Je porte moi même des lunettes, et c'est tout à fait confortable. Il suffit de bien positionner les écouteurs puis les lunettes. Donc n'hésitez pas à les acheter. En bref: un rapport qualité/prix plus qu'efficace, une qualité de son géniale, un confort et une autonomie assuré ! Foncez !"
27,"🚚Livraison : 2 jours avant la date prévue ! 📦Emballage : Reçut dans son emballage d'origine, lui-même dans un carton Amazon. ✂Déballage : À l'intérieur du carton : - Le boitier chargeur avec ses écouteurs, sobre, d'un noir mat plutôt élégant mais dommage qu'il y est le nom de la marque de marqué en gros car cela casse un peu l'effet. -Un sachet contenant une paire de porte écouteur en silicone de couleur jaune et 2 set d'adaptateur pour oreille de taille petite et grande. -Une notice en francais, courte mais qui vas à l'essentiel. -Un petit câble USB-C 💡Test : En suivant la notice et après pression de 3 sec sur chacun des écouteurs on voit bien que ceux-ci se connectent entre eux normalement. Le téléphone détecte et se connecte rapidement à ces derniers. Pour mon oreille j'ai gardé les embouts de base et ils s'adaptent sans soucis, je pense donc que les deux autres tailles conviendrons parfaitement à tous. Ils s'installent facilement et sont très légers. Après les avoir essayé pendant 3h non-stop durant une séance et VTT je peux affirmer qu'ils se portent super bien. Aucun des écouteurs n'as fait mine de partir, le son est très correct bien que la puissance soit juste ce qu'il faut et l'isolation est légère. En rentrant, je constate qu'ils leur restent plus de la moitié de la batterie, c'est une belle surprise ! L'autonomie est donc parfaitement plus que suffisante. 📄Bilan : Produit qui correspond largement à mes attentes, confortables, bon son et très bonne autonomie."
28,"These are some strange ones. I am hesitating between 4 and 5 stars, and when I started playing with these I initially thought that I'd give them only 3 stars as I immediately noticed a few issues (I have owned some 7-8 pairs of this type of headsets). But after testing them thoroughly and comparing sound quality with my other headsets, I concluded that they have a few superior features, mainly sound quality and comfort, that warrant 5 stars in spite of a few issues. So the sound quality is the best out of all my headsets, including some that are 50% more expensive now. They have a boomy bass (maybe even too boomy), but that can be reduced by slightly moving the earbud backwards (turning it in the ear, if you know what I mean). The higher frequencies are very pleasing and offer good reproduction of the sound. These headphones handled best one song that seemed to overpower other headphones with its loud sounds - these still sounded ok and pleasing. The volume is also quite high, so it's very satisfying. They are also very fast in connecting and disconnecting, however, there is this annoying design issue. When you place them back in the box, they immediately stop playing, but the phone thinks they are still playing and keeps sending them the stream, and they will not switch off until I close the box. This is annoying as an extra step to do. Also, I don't want them to connect to my phone and hijack the audio stream every time and open the box just to look at them - and they are really fast in connecting - only 2 seconds, so it's a world record almost - really fast. If only they did it only when I remove them from the box... Another thing is the cup - the medium size was too small for me, so I needed to use the largest size to enjoy the full sound quality, so someone with large ears has no recourse here. They sit well in the ears and are difficult to shake off with the hooks around the ears, however, to get the best sound quality I can only hook them a little bit - and further twist/turn to put them more behind the ears and all sound quality goes to ... somewhere else. Here are the pros: - great sound quality - great handling of loud sounds - super fast connecting and disconnecting - USB C (finally someone has done it!) - nice looking and soft touch case/box - two colours of ear hooks (I really like the bright green) - very comfortable if fitted properly in the right position - secure fit with comfortable soft hooks - internal volume control by holding the side buttons Cons: - buttons too hard to press (maybe they will wear in and become softer with time) - an annoying feature of switching on upon just opening the box - an annoying feature of not switching off until the box is closed - good sound quality only when hooks are hooked just a little bit over ears, so it's not super secure (but still quite secure - very difficult to shake them off) - the largest cup is actually medium, so most people will need to change and no recurse for people with large ear canals So all in all great sounding headphones with internal volume control and comfortable hooks, but annoying feature of connecting upon opening the box. Some people will be super happy with them while other super annoyed."
29,"Where have these headphones been all my life? - I am a retired musician so i'm very very fussy about my music and how I listen to it, my current pair are quite good quality but the left ear bud keeps falling out no matter how I try to keep it in, I've tried different sizes of the small ear pieces that fit on but to no avail. I was looking to buy a new pair and came across these beauties! - the quality of the playback is exceptional, just enough bass and treble etc, they fit around my ears perfectly so will not keep falling out, even though my wife and I wear glasses they are still very comfortable to wear (See pictures) Very easy to use, simply turn on your bluetooth, look for G4 and you're up and running, couldn't be easier! I'm actually over the moon with these, I listen to virtually everything through headphones, I believe you get the best from your music by doing this so I'm very happy indeed with my purchase, worth every penny in my opinion! 5 Stars all the way! *****"
30,"Have yet to take them to the gym (the reason why I purchased them in the first place) but so far this is my impression: Fit - they fit very well with the rubber ear hooks not interfering with my glasses and the default medium size rubber ear-canal caps appear to be a perfect fit, sealing off the outside pretty well (this is the noise cancelation it talks of in the description). Make sure you try all three sizes when you get them because they have a significant effect on sound quality. The key is to make sure they seal the ear canal completely and then the quality really shines. They seem to be comfortable and shouldn't budge even under vigorous exercise to a point where they can be tricky to remove again. They also came with a neon yellow pair of ear hooks too. Sound quality - So far pretty decent, particularly for the price. They are bass heavy without distortion but it can overwhelm the mids however this seems to improved slightly after running them for about 20mins so it might improve once they wear in. They have a solid high end that doesn't sound tinny and overall deliver quite a wide sound stage. Deadmau5 ""Some Chords"" builds nicely and the bass kick can almost be felt. ELO's Living Thing on the other hand is a little disappointing, lacking sharpness in the drums but the vocals sit nicely and the instrument placement is good. Santana's ""oye Como Va"" shines, almost sounding like surround sound with the instruments and effects placed around the room. Bluetooth audio codecs appear to be limited to AAC (default) and SBC on my Note 9. Interface - Pretty simple physical rubberized buttons on each that take a fair push to click but work as advertised (single click to pause / play, double click (not overly sensitive how fast you click) to skip with the left ear clicking back and the right ear forward. Holding the button slowly turns the volume up (right ear) and down (left ear). Triple click launches your default voice assistant. Pairing - Easy to set up on my Note 9. Launch the bluetooth setting and hit scan open the lid of the case and wait a few seconds for ""G4"" to appear then just click pair and that is it. Supports HFP, HSP, A2DP and AVRCP. After use put the headphones back into the case (the snap in place with a satisfying action due to the magnetic restraint holding them in place) and close the lid. The next time just open the lid, and about 2secs later they are paired up and working. The Case itself is small and light with a rubberised texture and USB-C charging port (small cable included)."
31,Love these headphones so much. They look far more expensive than they are. They are a very good quality set. They have the normal earbud sections that fit into your ear canal but also an ear hook that fits around your ears for extra security and grip. They are very very comfortable to wear and come with a spare set of the ear hooks. They really do cancel out the background noise as far as I’m concerned and are so easy to operate. The sound quality is superb as far as I’m concerned. They play for about 5hours from a full charge. The case when it’s fully charged can charge them up just over 4 times. They come with a charging cable as standard. The case is a neat smooth case with a dull finish. Very aesthetically pleasing to the eyes. They put quickly and are definitely ones I’d recommend. I love them and they don’t cost the earth.
32,"My wife's reaction when I received them: not another pair!🤣🤣🤣🤣 I found these very appealing because of the ear hooks and also because of the price. I found alternative earbuds with hooks but they did not look as nice and their box was really prismatic. These have a nice shape and do not take over the whole side of your face. They are still quite discreet. In addition, the shadow of the charging box is just yummy 🤗. The box does not take long to charge with the USB C cable, plus you can use a fast charger. Most importantly, they are comfortable, secure and the sound is awesome. I went to Chester earlier and on the way back to the car, I listened to some music. The sound was great and I could not hear the sound of buses, cars and vans rushing mere inches off me! The noise isolation is great I love them and just keep getting amazed by how great value technology is nowadays."
33,"I bought these earbuds in one of amazons flashdeals when the comparative HolyHigh earbuds I initially plumped for arrived faulty (only one earbud worked) As such, I can provide a rudimentary comparison between the two brands for those it might be useful to. Frankly, the holyhighs I preferred aesthetically. The charger box seemed a little smaller, the earbuds packed more neatly together, and the earhooks were thicker and appeared less flimsey than these slimmer more flexible ones. I like 'sturdy!'. HOWEVER. The HolyHighs arrived faulty while the Muzili's arrived in perfect condition and bluetoothed to my mobile effortlessly. Initially they sounded a little bass heavy, but going into my mobile music settings and turning to 'reduced bass' (duh!) fixed the worst of the issue and they sound much better for my musical tastes (mostly classical, some pop/classic rock) now. I am not a techie, and was pretty surprised by how much the in-phone EQ settings did change the music, so for anyone not immediately thrilled with the sound, definitely give these settings a looksie before dismissing them. I also initially found the earbuds not especially comfortable and they made my inner ears somewhat 'tickly'. Switching to the smallest spare earbud covers did the trick for me. Noise cancellation is pretty decent. When 'he' listens to his godawful music on the hi-fi I can listen to my earbuds in the same room without hearing any jumble of sound. Which is nice. Its difficult to give an accurate sound comparison against the holyhighs, because of course I only had the one ear to listen through on them, but the sound appeared somewhat comparative. So negligible in my layman opinion as to not be a deciding factor either way. The earbud controls on the Muzili's felt much easier and more responsive than on the holyhighs. Thats handy, particularly for turning on and off on those many occasions when someone ('he' again) interrupts your music just for the sake of making their own voice heard. If the literature is anything to go by these earbuds take the lead in that they offer notably more listening time per charge. I have yet to explore this to its fullest but can confirm that I got 3 days intermittent use from them on a single charge with no signs of needing to charge imminently. Between rooms and floors (one floor) bluetooth does not provide much of an issue (a momentary cut-out of sound occasionally when you close the door between device and earphones but for me it has come back after that temperamental 'blip') but leaving the device inside while you go outside is a complete dealbreaker. I imagine this is common for all bluetooth devices of this budget, but I dont know from actual experience. This isnt a problem for me personally though, since I am never far away from my phone anyway. I'm just bored of getting tangled up in its wires. All in all, a very useful, uber portable little item for housework and blocking out the world. I bought them in a flash deal for around £31. They currently retail on amazon at around £38. I would be happy to pay either price for their functionality and would vote they ultimately trump the currently price comparative holyhighs for the more responsive operation buttons on the earbuds."
