,0
13,"Oltre le aspettative! Esteticamente si presenta molto bene, ha una finitura gommata e tasti solidi e ben costruiti. Molto belli i radiatori passivi ai lati che si muovono in risposta alle basse frequenze, soprattutto con volume di riproduzione medio-alto. Per quanto riguarda la resa audio, la cassa riproduce bassi potenti e decisamente soddisfacenti ma non invadenti, con una buona rappresentazione anche dei medi e degli alti. Così, a differenza di quanto avviene con alcuni competitor in questa fascia di prezzo che esasperano i bassi rendendo il suono ovattato ed impastato, qui voci e strumenti sono chiari e precisi. Le considerazioni sulla qualità audio della cassa tengono ovviamente conto del prezzo, delle dimensioni, e dell’autonomia che questa piccola cassa garantisce e che la rendono, a mio parere, la migliore tra le casse da circa 100€. Se si ricerca una cassa con un rapporto trasportabilità/qualità audio più orientato sulla qualità, meglio guardare la JBL Xtreme2 con i suoi 4 driver ma con peso e prezzo decisamente diversi. Qualche dettaglio in più: • Le dimensioni e il peso contenuto rendono la Flip 4 trasportabilissima in uno zaino o in una borsa senza occupare troppo spazio. • È in grado di riprodurre audio stereo in quanto dotata di 2 altoparlanti da 40mm, ciascuno con una potenza di 8W, per una potenza complessiva della cassa di 16W. Sonorizza abbondantemente una stanza di medie dimensioni. Riproduce frequenze tra 70Hz – 20kHz • Può essere collegata tramite bluetooth 4.2 o con connettore jack da 3,5 mm. • È possibile collegare questa cassa a qualsiasi altro modello jbl che supporti la tecnologia “Jbl Connect +”, per un totale di 100 unità in riproduzione simultanea. I modelli così collegati possono anche essere diversi, l’unica condizione è che supportino il “Connect+”. Ad esempio è possibile collegare la Flip 4 alla Jbl Extreme 2, ma non alla Flip 3, poiché quest’ultima supporta la vecchia tecnologia “JBL Connect” e non la “Connect +”. • Un'altra funzione, a mio avviso utilissima, è la possibilità collegare insieme 2 casse Flip 4 e, tramite l’app scaricabile “JBL Connect”, impostarle in modo che ciascuna riproduca un canale stereo. In questo modo non solo si raddoppia la potenza di riproduzione, ma si migliora significativamente la separazione dei due canali stereo, allontanando tra di loro le casse. Per utilizzare questa funzione: 1. Devono essere collegate solo 2 casse e non di più 2. Le casse devono essere collegate via bluetooth ad un dispositivo con installata l’app “JBL Connect” (non funziona se le casse sono collegate col jack da 3,5mm) 3. Entrambe le casse devono essere dello stesso modello, in questo caso due Flip 4. • La JBL Flip 4 ha una batteria da 3000 mAh che garantisce un’eccellente autonomia. Quella dichiarata è di 12h. Con volume al 50% arriva oltre le 14h. Con volume al 100% dura circa 4h. Nella confezione è presente il solo cavo di ricarica da collegare ad un qualsiasi caricabatterie usb. • La cassa certificata IPX7 non soltanto resiste agli schizzi ma può essere immersa in acqua fino ad 1m per 30 minuti senza riportare danni. Sul sito ufficiale JBL è scritto chiaramente che la cassa non galleggia, se messa in acqua affonda. La certificazione si riferisce all'acqua di rubinetto, se bagnata con acqua di mare o acqua clorata di una piscina, dopo l'uso è opportuno risciacquarla per preservare le guarnizioni in gomma. Pienamente soddisfatto del prodotto, non posso che consigliarlo."
14,"Let me first say, this is my second JBL flip 4, the one I had prior to this was an absolute BRUTE. I’m talking tough! It had been submerged under water, dropped countless times, taken to the beach, withstanded super hot summer days for hours, getting caked with mud but alas, it got ran over by a car while off-roading one day... but guess what? It STILL WORKS. Even in its smashed up state nothing broke but the speaker cover protector. So bravo JBL, this is a great product. However I bought this one for my father for his birthday, he only used it a few times in his bedroom and now it won’t turn on at all, so I tinkered with it come to find out it was a remanufactured speaker put back together incorrect without water proof rubber gaskets for the speakers, keep in mind I payed full price for a NEW speaker! Now the return windows are closed and I’m unsure who to contact to hopefully make this right..."
15,"Genau die richtige Größe, noch relativ leicht und handlich und für normale bis etwas lautere Lautstärken geeignet. Wie hier schon geschrieben wurde ist ein Rauschen zu hören, wenn man zu leise hört. Das kann ich zwar bestätigen, aber ich empfinde das nicht als störend. Auch das Thema Delay bei der Bluetoothübertragung ist zu verschmerzen und so minimal, dass man sich beim Film schauen am Pad schnell daran gewöhnt. Aber das ist ja immer ein subjektives Empfinden. Sicherlich hat man mit einer größeren Bilddiagonale am TV Gerät ganz andere Eindrücke, weshalb die Box als Soundbar hier vielleicht doch nicht in Frage kommt. Aber für „zwischendurch und überall“ funktioniert es für mich, da das Koppeln so komfortabel ist und damit jegliches Verkabeln entfällt. Die Reichweite der Bluetoothverbindung ist auch raumübergreifend performant, d.h. keine Störungen, keine Aussetzer und dies sogar durch mehrere Wände hindurch. Das einzige, woran man sich leider gewöhnen muss, ist eine relativ kurze (aber immernoch viel zu lange) laute Meldung in Form eines Gitarrenspiels, beim Ein- und Ausschalten. Leider gibt es aktuell noch keine Möglichkeit das bei diesem Modell mittels einer App oder eines Firmwareupdates abzustellen. Warum der Hersteller hier kein optisches Feedback über die LEDs gewählt hat, bleibt ein Rätsel. Nur dafür einen Punktabzug.. wenigstens kündigt sich die Box nicht nochmal an, wenn sie sich nach einigen Minuten bei Leerlauf automatisch abschaltet. Also kann man auch mit Hörbüchern einschlafen..."
16,"Clear sound, great volume and bass for the size I take it with me a bit everywhere. Very good speaker. I had the FLiP3 but it got stolen and I bought this one finding that: the went from ""splash proof"" to ""water proof"", I mean, what are the odds to drop your speaker in a pool or in a bathtub full of water? How useful can it be? On the other hand they didn't modify the volume of the switching On/Off sound, which is stupidly loud. So loud that if you want to listen to some ambient music late at night you need to switch it on in another room. Not to mention that if you want to switch it off before falling asleep...it will wake up your partner!! Come on JBL ..that was a dumb move."
17,"He probado los dos modelos, el Charge 3 y este. El Charge 3 suena fuerte y con un grave potente, música alta y poco más, sus puntos negativos, muy poco brillo en la calidad del sonido, suena muy grave y como acolchado, parece que se queda atrapado dentro, no me ha convencido por el precio que ofrece. En cambio, el Flip4 ES UNA JOYA! Sonido brillante y nítido, con mucha limpieza y buena percepción en tonos y a bajo volumen, si lo encierras en una estantería suena potente y con un grave agradable. Ideal para llevarlo siempre encima por su tamaño, además, para usar con la TV o con lo que te apetezca, es una pasada en todos los sentidos."
18,"PROS: – Potencia y nitidez de sonido – JBL Connect+ (conecta hasta 100 dispositivos simultáneamente) – Disponible en muchos colores – Batería de litio polímero – Resistencia al agua IPX7 – Bluetooth versión 4.2 CONTRAS: – No flota – Calidad de sonido del manos libres mejorable ACABADO/DISEÑO El JBL FLIP 4 tiene un diseño cilíndrico muy similar al del UE Boom 2. Este altavoz Bluetooth resistente al agua tiene unas dimensiones de 6,8 x 17,5 x 7 cm y tan solo pesa 515 gramos. Es algo más pequeño que mi JBL Charge 3 así que lo prefiero para viajar. Tiene una correa de transporte que me recuerda a una cuerda para escalar. Lo compré de color blanco porque a mi gusto es el que me parece más minimalista. CALIDAD/PRECIO Tuve suerte y lo conseguí por menos de 100€. Es un altavoz inalámbrico ideal para regalar porque está a un precio muy asequible. La relación calidad precio que tiene es elevada porque si comparamos con otros altavoces de la misma gama como el Denon Mini DSB-150BT Negro - Altavoces portátiles (4 cm, Inalámbrico, Bluetooth/3.5 mm, A2DP,AVRCP,HFP,HSP, 30 m, Negro) o el UE Boom 2, los precios se disparan. CALIDAD SONIDO El JBL Flip 4 tiene dos drivers de 40mm de 8W RMS cada uno, en total 16W RMS con una frecuencia de sonido de 70 Hz a 20 KHz. La señal de ruido es igual o mayor a los 80 dB por lo que el sonido que genera es fuerte y rico en matices. Cabe destacar que este JBL Flip 4 no tiene calidad de sonido 360º porque sus 2 drivers están orientados en la parte frontal inferior. Esto es algo que no me molesta porque el sonido que ofrece es rico en matices. Pese a su pequeño tamaño, este JBL suena con mucha potencia y nitidez. Los graves tienen presencia gracias a los dos radiadores pasivos que tiene en los extremos y ayudan a amplificar el bass. Los medios y las voces se transfieren sin renunciar a la calidez. CONECTIVIDAD Al ser un altavoz bluetooth, el JBL FLIP 4 tiene pocas conexiones físicas: una entrada micro-USB y un puerto mini jack 3,5mm. En cambio, la conectividad inalámbrica de este altavoz es excelente. Su versión bluetooth 4.2 transmite el sonido sin cortes hasta 1 0 metros de distancia. La tecnología JBL Connect+ funciona como la tecnología Harman Kardon connect + debido a que JBL pertenece al grupo Harman. Si no queremos utilizar el modo fiesta pero necesitamos de un sonido estéreo real, podemos conseguirlo mediante el modo estéreo. De esta manera, un altavoz bluetooth funcionará como altavoz o canal derecho mientras que el otro como el izquierdo para conseguir un sonido estéreo real. Además, tiene un modo fiesta que nos permite conectar de manera simultánea hasta 100 dispositivo. El manos libres tiene cancelación de ruido externo, pero funciona de manera mediocre. La calidad de las llamadas no es muy buena porque el sonido se escucha lejano y la otra persona llega a quejarse de la mala calidad. Es extraño porque JBL incluye la tecnología de reducción de ruido y eco externo en el sistema manos libres. FUNCIONALIDAD Aunque este JBL Flip 4 no sirve como PowerBank, tiene una batería de litio polímero de 3000 mAh que ofrece hasta 12 horas de reproducción (dependiendo del volumen y la música que reproduzcamos) y se carga en tan solo 3,5 horas. El botón para acceder al JBL Connect+ permite utilizar el altavoz en modo fiesta y conectar hasta 100 altavoces entre sí para mejorar la potencia global del sonido. Este aspecto lo hace idóneo para fiestas como pool parties donde el espacio es más amplio de lo normal y existe ruido de fondo. CONCLUSIÓN Llevo apenas un mes utilizándolo y me encanta. Los graves se ven reforzados por los radiadores pasivos de los laterales y eso me gusta. Si lo coges en la mano puedes sentir cómo vibra. Tiene una excelente relación calidad-precio, así que es de lo mejor que podemos comprar por este precio. Me gustaría que flotara en el agua, pero su resistencia IPX7 nos permite llevarlo con nosotros a la piscina o playa."
19,"Ich habe Flip für mein Dienstfahrzeug gekauft, in dem leider kein Radio ist. Da das radio Programm in Deutschland meinen geschmack genau zu null Prozent trifft, ist ein Bluetooth Lautsprecher eh die beste wahl. Und das Gerät ist spitze. Er ersetzt zwar kein autoradio mit mehreren Lautsprechern, aber er schlägt die meisten bluetooth teile um längen. Ich höre Metall und nicht klassik, da ist das letzte Quäntchen Auflösung nicht von Belang. Er ist ausreichend laut und hält lässig 10 stunden. Kann ihn nur weiterempfehlen."
20,"I'd been previously using Anker BT speakers but felt the need for better SQ and some weather protection whilst keeping the compact form factor. All the reviews suggested that I should go with a Ultimate Ears BOOM 2 and just when I was about to pull the trigger on one, I started reading about the lack of bass. Many reviewers compared the BOOM 2 to JBL Flip 4 saying that former has no bass and the latter has plenty of it. After watching a convincing real-life test of this on Youtube, I ordered the Flip 4. I have to say that I have never been so impressed by a BT speaker before. First of all, the red version looks extremely attractive. The size seems a bit bulky at first for a compact speaker, but I can hold it in my hands without any issues concerning grip or weight. You can even slip the speaker inside a small bag and forget it's there. The IPX7 rating is great as while I don't intend to do any water sports with the Flip 4 in hand, me and my friends do use occasionally use it in light rain or in snowy conditions. Finally, the sound. Wow. This small speaker fills up a small and medium-sized rooms with nice and crisp sound. This isn't exactly a 360-degree speaker (though it looks like one) so while you can keep it both vertically and horizontally, you do have to face it a certain way to get the SQ sweet spot. What sets this speaker apart from other similarly-sized speakers I've used is the bass. It's a small miracle that the folks at JBL have been able to get such bass into a such a small speaker as this speaker would easily fool an average listener into thinking that the music was coming from a 2.1 speaker system with a dedicated subwoofer. I guess the small trade-off concerning the excellent bass is that the passive radiators are exposed at the top and the bottom of the speaker although they are protected by the speaker exterior's edges. While these JBL speakers should be quite durable, I'd imagine they aren't as durable concerning drops and hits as the UE speakers are. I actually went and bought a protective case for the Flip 4 that protects the radiators with a mesh. The battery life is only about 12 hours but I'd rather listen to 12 hours of full sound instead of 20-30 hours of sound with only a hint of bass. So there you have it... The JBL Flip 4 is just an excellent BT speaker hitting all the marks. The competition might be more durable in terms of submerging the speaker into water or dropping it to asphalt but this type of structure does seem to set restrictions to SQ."
21,"Can’t say enough about this speaker. I originally bought one for myself, then my parents loved it. Bought one for them a few months later. Went to the lake for a week and forgot my JBL so went and bought another one just for that week because I knew it would make the whole trip so much better. We used it every day. Got sand in it, no problem. Dunked it in the lake a few times to test the durability, nonissue. Gave it to my brother when I was done with it and he loves it too. We are now a JBL family! I even put it in a bush by the alter at an outdoor wedding that needed aisle music in a pinch and it was perfect. I love this speaker. Pairs niceley and the sound is incredible. Nothing bad to say at all. Very pleased with all three of my purchases."
22,"No final de 2017, adquiri uma caixa de som bluetooth, modelo FLIP 4, e recebi ótimas recomendações da JBL, sendo uma das empresas referência na área de fabricação deste produto. Em doze meses de uso, tudo ocorreu muito bem, sem nenhum problema. A surpresa veio quando o produto completou 1 ano e 1 mês de uso, ou seja, saiu da garantia da fábrica. A caixinha de som simplesmente deixou de marcar a contagem correta da bateria, ou seja, existem 5 pontinhos de luz que te guiam sobre o tempo de carga restante, e esses pontinhos simplesmente ficaram instáveis. Se só existe 1 pontinho aceso e você liga a caixinha na tomada, todos os pontinhos voltam a acender como se a bateria já tivesse carregado. Por mais que você deixe o aparelho carregando a noite inteira, nos primeiros 30 minutos de uso, ela simplesmente desliga. Como o problema foi repentino, procurei casos semelhantes na internet e fiquei COMPLETAMENTE SURPRESO. Se qualquer consumidor buscar no Google o seguinte problema ""JBL FLIP 4 com bateria viciada depois de 11 meses"", vai encontrar milhares de reclamação com os mesmos fatos. Ou a JBL tem um problema técnico em todos os seus equipamentos desta linha, ou há uma ""obsolescência programada"", ou seja, seu equipamento vai parar de funcionar em 11/12 meses. Isso está acontecendo com milhares de consumidores que, inclusive, já registraram a reclamação aqui. Após verificar as respostas que a empresa deu, orientado que o consumidor procurasse a assistência técnica, decidir ligar no local e verificar o procedimento que a empresa estava adotando neste caso que afetou milhares de consumidores logo após a garantia de fábrica acabar. Para minha surpresa, fui informado que se a garantia acabou não há nada a ser feito, e mesmo se eu quiser obter uma nova bateria, que sai por mais de metade do custo de uma nova JBL, há uma fila de consumidores aguardando. Ou seja, o problema é tão grave e recorrente, que nem a assistência técnica da própria empresa tem o equipamento para repor, ainda que o consumidor decida pagar do próprio bolso. Todos os meus amigos e parentes perguntam sobre a qualidade da JBL, e agora eu realmente tenho o que dizer. JBL NUNCA MAIS. VERGONHA. ABUSO."
23,"Son niquel , par contre le son asser bas y a des ultrasons agaçants , avec le son plus élevé il est camouflé , mais attention oreilles sensible"
24,"Au début les écouteurs pouvaient tombés de temps en temps, mais maintenant que je les connais c bon, ils ne tombent plus.. J'ai mis du temps à me rendre compte d'un truc, C vrai, depuis ils tiennent bien à mes oreilles.. Ça, c'était Juste le point négatif sinon, le son est Bon, puissance.. Les BASS se font bien ressentir, Écouter sans modération une Zic de Notorious Big, (Hypnotise) et la, vous pourrez avoir la certitude de vous dire que vos écouteurs sont TipTop.."
25,Après moins d'1 mois d'utilisation les écouteurs ne chargent plus ! j'suis dégoûté quand on voit le prix :-(
26,Je vais m'orienter vers d'autres modèles JBL
27,"Désolé ça ne vaut pas les 80 euro. Ça vaut 20 euro maximum, concernant la qualité du son horrible ,les oreillettes qui ne tiennent pas dans les oreilles. Trop volumineuse ,difficile de les repérés avec mon téléphone."
28,"Le son est bon, le design magnifique. C'est trop la classe. Apparemment le son micro est pas top quand on passe un appel. Mais pour la musique, le top. Surtout pour un prix somme toute raisonnable."
29,"Produit bien fini et boîtier protège bien les écouteurs! Pas d’essaie en écoute car je les aies offert,mais je ne me fait pas trop de soucis cars la marque a fais ses preuves!"
30,Pour celui qui ne souhaite pas se ruiner pour des écouteurs sans fils je conseil vivement les basses sont très présente peut être trop et les aigus sont un peux étouffer mais je trouve que c’est un excellent rapport qualité prix jamais était déçu par jbl.
31,"Sound quality is decent and the Bass is good. Earbuds are given as three sets of S, M & L can be used as individuals are adjustable with. Battery life is also good which comes for around 3 hours for earbuds and an extra 12 hours of life with the charging case. Overall it's the best one in this range🙌🏻"
32,"Please do not buy this product, spend the extra few pounds and instead go with the jbl reflect flow. I got these earphones on sale for just under £60 and returned them the same day. They're huge much bigger than I expected, which meant they didn't stay in my ears even just sitting at my desk I would find them falling out and constantly having to put them back in. The sound quality was below what I was expecting even worse than my £8 wired jbl earphones. So in my opinion not even worth the money I paid I believe they cost even more now. I got the jbl reflect flows instead and have 0 complaints great fit great sound quality and 10 hours battery life. By far superior to these earphones and only a little more expensive"
33,"First time product got delivered with one earbud . Second time empty box . Harrasment , drama as the group head was threatening the poor reverse pick up guy that the product amount will be deducted from his salary . However, the fault lies with either the manufacturer ( the product line is faulty) or the second time the delivery boy stole it . Need to avoid amazon . It’s absolutely local and no longer global corporate"
34,"Bass is superb. Handy and easy to use. However, fitting is always unsure whether it may fall or not especially during hectic schedule or while running."
35,der ton ist nicht schlecht aber zu leise und microusb ist einfach nicht mehr zeitgemäß da wäre usb typ c besser außerdem kann man sie nicht einzeln benutzen nur nach dem master slave prinzip und ton video ist auch nicht wirklich synchron.
36,"--} I have been using these JBL Tune 120TWS Truly Wireless in-Ear Headphones for a week now and am sharing my experience. --} You get earphones, charging case, micro USB cable and a User Guide in the box. The design of the earbuds is such that it fits securely in the ears. Earbuds won't fall during exercising, running, etc. I mainly use these during my work-out sessions and not once have these earbuds accidentally pop out of my ears. The look of the earbuds is elegant. In ears, these doesn't look absurd or over-sized. A total of 6 color options are available for the earbuds and charging case. --} Before commenting on the sound quality of these earphones, I want you to know that selecting the correct size of earbuds is VERY IMPORTANT before using any in-ear earphones. Whatever be the brand / price of the earphones, if the size of the earbuds is not proper, there is no point of discussion of the capability of the earphones' sound quality and hence, I suggest you to choose the proper fitting earbuds before using the earphones. A total of 3 pairs of earbuds are provided by JBL for choosing the perfect fit for your ears. --} Now, coming to the sound quality, The EXPERIENCE that you get while listening to music, interviews, audio books, watching movies, etc. is REALLY VERY GOOD. The bass is deep and punchy, the CLARITY of the dialogues / voices is VERY GOOD and the overall sound coming from the earphones is REALLY GREAT. --} All in all, for its price, these JBL earphones (like other JBLs) sounds great and you won't be disappointed!. For the call quality, it is great. The person on the other side can hear you clearly, without any noise or disturbances. --} Earbuds are light in weight and won't stress out your ears even with a long usage. Each earbud has a Blue / White LED Light which shows whether the earbud is in pairing mode, paired, etc. Both the earbuds have a button on them, which can be used to perform various functions like playing / pausing music, activating Google Assistant / Siri, muting a call, etc. You can find these functions listed in the User Guide provided by JBL. The right earbud is the master earbud and can be singly used too! --} Coming to its battery life, earbuds provides a 3-4 hours of audio playback. These can quick charge in 15 minutes and provide an hour of playback. The charging case of these earbuds looks classy and enhances the playback time by 10-12 hours. The case has 3 LEDs for showing the charging levels and a micro USB slot for charging (covered by a rubber slot). These earphones are not waterproof, so you cannot use these while swimming or during rain. --} JBL is a renowned and trustworthy brand in the audio industry. I don't think there will be any issue with the built quality of these earphones in the coming months. JBL provides a 1 Year Warranty for these earphones. --} To conclude, I REALLY like these JBL Tune 120TWS Truly Wireless in-Ear Headphones. They have GREAT sound quality and a steady fit in the ears. The earbuds and its charging case looks really classy. I recommend buying these truly wireless earphones! --} Thanks a lot for reading my review. I have attached a video review also, in which I have shown the earbuds, charging case, earbuds fitting, etc. Please comment down any questions/feedback you have regarding the product or my review. I will answer them as soon as possible."
37,"I was expecting good things from these ear buds, especially from a respected brand like JBL, but unfortunately I have a good few niggles. Firstly the instructions are somewhat confusing, but connected fine. The sound is pretty good, with exceptionally good bass. You have to change volume from your device which is a bit annoying - you can't do from the buds. Using controls (pause/next etc) takes a bit of getting used to. My really big niggle with these is that it is impossible to power them off when they are in the case. The instructions imply that as soon as you place them back in the case, and close the lid, they turn off. They don't! You can manually turn off whilst out of the case, but as soon as you put them back in the case, they power on again. If you manually power off with them in the case, they immediately power on again. Pretty rubbish really. Maybe this is a defective item, I can't believe this is how they are meant to be. Sadly, can't really recommend these. Battery life is fine UPDATE: I have found that actually the ear buds DO turn off once returned to the case, but there is a lapse of time before they do, but they do after a while. I would now recommend these for consideration, notwithstanding the other (relatively minor) niggles above"
38,"This is a horrible product. We ordered it on 16th Dec. It stopped working within a couple of days. We went to customer service centre and they said they'll replace it. But, no replacement has happened over last 2 months. The customer service center said that many customers have returned this product and replacement is not being sent. THE PRODUCT IS HORRIBLE AND THE CUSTOMER SERVICE IS PATHETIC. BEWARE BEFORE YOU PURCHASE."
39,"Tiene una buena duración de batería, se escucha bien y se conecta con el teléfono y la tablet perfectamente y a la primera. El tacto de los botones es con un clic, que personalmente me gusta más: anteriormente había probado unos sin ese clic, solo por toque tipo “pantalla táctil” y fue una experiencia muy mala, ya que cada vez que me los ajustaba en el oído cambiaba algo sin querer (volumen, siguiente canción, etc). Finalmente, la cajita tiene un imán que atrae a los auriculares cuando vas a depositarlos: una ayuda magnífica para en guardado rápido y sin caídas. No obstante, el ajuste en el oído es mejorable (ni pensar en hacer deporte con ellos) y para hablar por teléfono el micro va bastante regular: hace su función, pero es MUY mejorable, continuamente me dicen que oyen más lo que pasa a mi alrededor que lo que digo (especialmente si hay ruidos metálicos, de bolsas de plástico o de agua). Actualización: tras 3 meses utilizándolos, mi opinión sobre la sujeción en las orejas ha cambiado De “mejorable” a muy mala. Me paso el día re-apretándolos en las orejas o recogiéndolos del suelo."
40,"Ich habe mir diese Kopfhörer zeitgleich mit Kopfhörern von Philips bestellt um zu testen, welche besser sind. Ich muss sagen die JBL sind um einiges besser, guter Tragekomfort, sehr sehr guter Bass, was mir sehr wichtig war und auch sonst übertrifft der sound meine Erwartungen, bin sehr sehr zufrieden. Die Philips gingen zurück und die JBL sind jetzt meine täglichen Kopfhörer. Die Akku Laufzeit ist auch ausreichend, und generell sehr einfach zu bedienen."
41,"Fit and comfort: The earbuds did come out after a while, it fits nicely but my ears are quite small so it did fee quite big even with the smallest size. It was very comfortable to wear and did feel quite loose but it was nicely secure. Sound: The bass was good, these earbuds gave me the punchy bass that i wanted and sound isolation was good. As i put them in the sound around me drowned. They dont have noise cancellation but it seems like they do. The call quality was very good aswell. Downside: They dont have a volume button so when i want to make it louder i would have to get my phone out. When i went shopping i wouldn't be able to hear myself or the cashiers voice so i would have to take them out but it is a good thing because the seal is good. My overall thoughts: These were much cheaper because of the sale but they are worth the price. They are very good and sound quality was perfect and i would not even go back to airpods, i get that the Airpod pros have newer features but these earbuds give me what i want"
42,"Schnelle Lieferung, ausgepackt den Ohren angepasst und los ging's. Verbindung mit Tablet und Smartphone klappte einwandfrei. Einige Soundeinstellungen bei beiden Geräten vorgenommen und den ersten Hörtest begonnen. Bässe und Höhen kommen klar rüber, es war ein Quantensprung gegenüber meinen alten Ohrstöpseln. Auch das anfängliche Rutschen habe ich mittlerweile in den Griff gekriegt. Lautstärke ist völlig angemessen. Was will (braucht) man mehr?"
43,Awesome sounding headphones...really have no complaints. Compared these against airpods...imo these blew them out the water for sound quality and compatibility.
44,Sound quality very poor nowhere near as good as low-cost Betron earbuds. Very insecure when inserted in the ear not enough selection of tips to maybe get a decent fit. Certainly would not recommend them a costly mistake I will stick with wired headphones and earbuds from now on.
45,Awfull pair of earbuds. Expensive yet poor design and quality. They are really large. They dont have volume control. They dont stay in youre ears due to the weight. Poor baterry life. Big mistake.
